idx,farm_id,village_id,village_name,area_ha,erode_m,cx,cy,core_px,cov_frac_T1,g0_lin_T1,g0_db_T1,cov_T1,enl_T1,npx_T1,cov_frac_T2,g0_lin_T2,g0_db_T2,cov_T2,enl_T2,npx_T2,cov_frac_T3,g0_lin_T3,g0_db_T3,cov_T3,enl_T3,npx_T3,cov_frac_T4,g0_lin_T4,g0_db_T4,cov_T4,enl_T4,npx_T4,n_valid_dates,data_quality,core_px_low,impute_donor_dist_m,g0_db_filled_T1,g0_db_filled_T2,g0_db_filled_T3,g0_db_filled_T4,slope_early,slope_late,slope_emerge,curvature,dynamic_range,peak_idx,mean_db,auc,flood_depth
11,11,22,Sokhda,0.44305429167039695,4.0,312622.5752760339,2481427.6972156446,3413,1.0,0.008867288507692543,-20.52209161022068,1.059141889110224,0.891439164589639,3413,1.0,0.01693298859728782,-17.712663840786348,1.0240625704106738,0.9535577806156218,3413,1.0,0.008284311844073737,-20.81743561443072,1.069372264522525,0.8744644691149737,3413,1.0,0.008735500254327462,-20.587122193046316,1.0596150318293345,0.8906432457497506,3413,4,measured,False,,-20.52209161022068,-17.712663840786348,-20.81743561443072,-20.587122193046316,-0.0042803478871020345,0.0038385570230734228,0.2161098284180256,0.5256574255944457,3.104771773644373,1,-19.909828314621016,-19.91864673954988,0.29534400421004037
12,12,22,Sokhda,0.5516646220769733,2.757974941067709,312677.15387135954,2481342.0037919544,4165,1.0,0.016780025616001358,-17.752073805228402,1.050081750633702,0.9068882564089189,4165,1.0,0.024523628124450074,-16.104152781231672,0.941289243214589,1.1286357654547505,4165,1.0,0.012366097583400537,-19.07767330717205,1.1036817387777778,0.8209416430349499,4165,1.0,0.00988946525686479,-20.048271909378535,1.0881906233824616,0.8444813079852345,4165,4,measured,False,,-17.752073805228402,-16.104152781231672,-19.07767330717205,-20.048271909378535,-0.019211586984690523,-0.016176643370108105,0.12676315569205615,0.35500089973715987,3.9441191281468626,1,-18.245542950752665,-18.441356277393893,1.3255995019436462
13,13,22,Sokhda,0.48151869251480095,3.3047756170459954,311588.68437082646,2482211.8546275664,3668,1.0,0.008705476512200305,-20.602074518924027,1.0126314443438538,0.9752078352971263,3668,1.0,0.020257348769788786,-16.934173946122048,0.9155485537646991,1.1929911944357745,3668,1.0,0.0074520641765444635,-21.277234136524573,1.0492509162145123,0.9083250381738198,3668,1.0,0.009200379067160681,-20.36194278808282,1.0294911230584098,0.9435279888026564,3668,4,measured,False,,-20.602074518924027,-16.934173946122048,-21.277234136524573,-20.36194278808282,-0.009784921994210806,0.015254855807362529,0.28214619790784456,1.5904509660422974,4.343060190402525,1,-19.793856347413367,-19.86883991531106,0.6751596176005457
14,14,22,Sokhda,0.28968417584406564,2.7413403523947,311545.3779317869,2482324.376477142,2204,1.0,0.021238657066805403,-16.728729474264693,0.9649262592850043,1.074018468165112,2204,1.0,0.027995439680540163,-15.529127073319586,1.0373948389302765,0.9292056330592307,2204,1.0,0.025124247156474235,-15.999069429321517,1.2617947968452432,0.6280909496616084,2204,1.0,0.01467078821190439,-18.335465523540766,1.0333815447364716,0.9364370704715321,2204,4,measured,False,,-16.728729474264693,-15.529127073319586,-15.999069429321517,-18.335465523540766,0.01057478326004602,-0.03893993490365413,0.09227710776500822,-3.0660561391624235,2.8063384502211797,1,-16.64809787511164,-16.453500916427267,-0.7296600449431754
15,15,22,Sokhda,2.2578881029238358e-07,1.0786823439552286e-06,311656.87389605446,2482461.914078054,0,0.0,,,0.988778851814429,1.0246131517311192,0,0.0,,,0.9916667142023707,1.0168777817602739,0,0.0,,,1.0623972580897199,0.8863915803441974,0,0.0,,,1.078305760413683,0.8601037804587011,0,0,imputed,True,209.87915146145383,-19.3126339384092,-17.39218732024132,-20.010670300443714,-19.55989730016271,-0.010116469014992963,0.0075128833380167254,0.14772666293599074,1.148809362315518,2.618482980202394,1,-19.068847214814234,-19.170375035493038,0.6980363620345145
16,16,22,Sokhda,1.1980493501628914e-07,1.2955313247231836e-06,311726.7916596774,2482502.582039432,0,0.0,,,0.988778851814429,1.0246131517311192,0,0.0,,,0.9916667142023707,1.0168777817602739,0,0.0,,,1.0623972580897199,0.8863915803441974,0,0.0,,,1.078305760413683,0.8601037804587011,0,0,imputed,True,224.91845347380843,-19.3126339384092,-17.39218732024132,-20.010670300443714,-19.55989730016271,-0.010116469014992963,0.0075128833380167254,0.14772666293599074,1.148809362315518,2.618482980202394,1,-19.068847214814234,-19.170375035493038,0.6980363620345145
17,17,22,Sokhda,8.170492947101593e-09,2.3402864932830328e-07,311777.39545334986,2482584.67418688,0,0.0,,,0.9542895625957173,1.0985036970242668,0,0.0,,,0.9916667142023707,1.0168777817602739,0,0.0,,,1.0567191731085377,0.8963844289172138,0,0.0,,,1.078305760413683,0.8601037804587011,0,0,imputed,True,234.7594625585254,-18.067032675096836,-17.104304237659587,-18.7949868999335,-19.55989730016271,-0.010550061229516888,-0.012748506670486806,0.07405603364901918,-0.036956175392543145,2.455593062503123,1,-18.381555278213156,-18.48403385882488,0.7279542248366653
18,18,22,Sokhda,5.08422963321209e-09,2.697515638835066e-07,311779.5475314386,2482591.0172017487,0,0.0,,,0.9542895625957173,1.0985036970242668,0,0.0,,,0.9916667142023707,1.0168777817602739,0,0.0,,,1.0567191731085377,0.8963844289172138,0,0.0,,,1.078305760413683,0.8601037804587011,0,0,imputed,True,235.65197022586872,-18.067032675096836,-17.104304237659587,-18.7949868999335,-19.55989730016271,-0.010550061229516888,-0.012748506670486806,0.07405603364901918,-0.036956175392543145,2.455593062503123,1,-18.381555278213156,-18.48403385882488,0.7279542248366653
19,19,22,Sokhda,4.845749097147529e-09,1.7345113218981692e-07,311792.0716927343,2482627.9309585774,0,0.0,,,0.9807566203342473,1.040439805598239,0,0.0,,,0.9916667142023707,1.0168777817602739,0,0.0,,,1.0640835209841635,0.883486037750516,0,0.0,,,1.0559428467000933,0.8975298172515329,0,0,imputed,True,242.85568675147962,-19.3126339384092,-18.15013564606444,-20.010670300443714,-19.55989730016271,-0.010116469014992963,0.0075128833380167254,0.08942294556498134,1.148809362315518,1.860534654379272,1,-19.258334296270014,-19.373082145887594,0.6980363620345145
20,20,22,Sokhda,0.387613543863222,2.414947325760696,312471.0242948731,2480983.437138215,2932,1.0,0.011049587232077098,-19.56653945162531,0.9515253858909405,1.1044835227466938,2932,1.0,0.03901413973191373,-14.08777964906382,0.8883850610235131,1.2670609493121763,2932,1.0,0.010326577650181953,-19.86043584957037,1.016658268806032,0.9674978430826594,2932,1.0,0.013776389221443938,-18.60864595685903,0.8990448355565144,1.2371925573750961,2932,4,measured,False,,-19.56653945162531,-14.08777964906382,-19.86043584957037,-18.60864595685903,-0.004259368086160267,0.020863164878522335,0.42144306173549917,1.5456862906563984,5.772656200506548,1,-18.030850226779634,-18.010663273714098,0.2938963979450584
21,21,22,Sokhda,0.5725174781560199,3.9606851251263584,312460.0677645504,2480874.2197914165,4353,1.0,0.01015031526628658,-19.93520468461877,0.9756458224230019,1.050547325331749,4353,1.0,0.038399781247752895,-14.156712496732094,0.8535717945884542,1.3725238137143092,4353,1.0,0.008824240302736302,-20.54322673649082,0.9472442012623424,1.1144897774856044,4353,1.0,0.009821636932549657,-20.07816124073747,0.9796162773387351,1.042048696017487,4353,4,measured,False,,-19.93520468461877,-14.156712496732094,-20.54322673649082,-20.07816124073747,-0.008811913795247072,0.007751091595889174,0.4444993990682059,1.0730875476253985,6.386514239758725,1,-18.67832628964479,-18.69641394981295,0.608022051872048
22,22,22,Sokhda,0.3980899814225151,3.5536825447993707,312492.7383219067,2480766.986127785,3035,1.0,0.012280329549118148,-19.10789978517071,1.1049272872430551,0.8190918447953991,3035,1.0,0.03581924550932481,-14.45883566297927,0.9314467411772503,1.1526141445586644,3035,1.0,0.010044226808133716,-19.98083489068555,1.149884766573628,0.7562952257730388,3035,1.0,0.013362553953132236,-18.74110528256482,1.0933150751855845,0.8365835625173454,3035,4,measured,False,,-19.10789978517071,-14.45883566297927,-19.98083489068555,-18.74110528256482,-0.01265123341325857,0.02066216013534549,0.3576203170916491,2.1126647136355707,5.52199922770628,1,-18.072168905350086,-18.171726830334116,0.8729351055148413
23,23,22,Sokhda,1.11717020774664e-09,6.681440769592857e-08,312517.4326890213,2480651.2501248107,0,0.0,,,0.9914115550728664,1.0174517110740318,0,0.0,,,0.9141374277014918,1.196899277752464,0,0.0,,,1.0306490138260611,0.9426860978022982,0,0.0,,,1.0084644546313923,0.9857008069849604,0,0,imputed,True,149.60526330278452,-19.9485294397632,-15.071924859745229,-20.36612234335745,-19.991388122700464,-0.006052071066583347,0.006245570344283103,0.37512342923215153,0.7923271242512371,5.294197483612221,1,-18.844491191391583,-18.842043322600134,0.41759290359425094
24,24,22,Sokhda,0.2566174177297391,2.689668533524102,312419.4436552045,2480606.835826404,1960,1.0,0.012832178234513627,-18.916996168180027,1.0029515561488358,0.994122920279461,1960,1.0,0.03683408970702509,-14.337500585388623,0.88293468855437,1.2827524143709066,1960,1.0,0.009097379111608461,-20.410837067238866,1.05255605261888,0.9026295227114931,1960,1.0,0.009200640309019055,-20.361819473286808,1.0373126319240495,0.9293529179524337,1960,4,measured,False,,-18.916996168180027,-14.337500585388623,-20.410837067238866,-20.361819473286808,-0.021649868102302006,0.0008169598992009715,0.35226889098395414,1.5428584930108968,6.073336481850243,1,-18.50678832352358,-18.699902165794853,1.4938408990588385
25,25,22,Sokhda,0.10201993928913798,1.69657153271574,312378.480550806,2480382.6076120785,783,1.0,0.013131185296167002,-18.81696070228029,0.9506751414475724,1.1064600147671513,783,1.0,0.028005866446489527,-15.52750986569305,0.968927275303857,1.0651668381027501,783,1.0,0.011084977828873264,-19.552651711834695,0.9458311470297186,1.1178223192168448,783,1.0,0.012611269189437271,-18.992412041301797,0.9854181533122772,1.0298142163830795,783,4,measured,False,,-18.81696070228029,-15.52750986569305,-19.552651711834695,-18.992412041301797,-0.010662188544266732,0.009337327842214964,0.25303467973748006,1.2959306800873023,4.025141846141645,1,-18.22238358027746,-18.308802290362003,0.7356910095544045
26,26,22,Sokhda,0.48380932527626863,3.833575722512203,312347.44018856087,2480461.967445036,3691,1.0,0.01084648091368281,-19.647111436283485,0.976555710420629,1.0485905806627345,3691,1.0,0.0300133111275547,-15.226860897100616,0.8538991980490521,1.3714715047334056,3691,1.0,0.009091286572324846,-20.413746523420635,0.9823062976518945,1.0363492639484277,3691,1.0,0.00950197937519379,-20.221859165866984,1.0073961623115897,0.9853701814827034,3691,4,measured,False,,-19.647111436283485,-15.226860897100616,-20.413746523420635,-20.221859165866984,-0.011110653436770288,0.0031981226258941692,0.340019272244836,0.9585224446908001,5.186885626320018,1,-18.87739450566793,-18.94330231488543,0.7666350871371499
27,27,22,Sokhda,0.5415105264037847,4.0,312327.68819454405,2480420.60560336,4163,1.0,0.009635304306058853,-20.161345647287973,1.0844331348886656,0.8503435894584849,4163,1.0,0.02174458876648245,-16.62648801295322,0.9513121543303087,1.1049787064535683,4163,1.0,0.009098734795132788,-20.410189933594907,1.1516668994936967,0.7539563970944031,4163,1.0,0.00902846707634233,-20.443859813365272,1.462439636610252,0.4675672687085911,4163,4,measured,False,,-20.161345647287973,-16.62648801295322,-20.410189933594907,-20.443859813365272,-0.0036064389319845477,-0.0005611646628394122,0.2719121257180579,0.21517440653656905,3.817371800412051,1,-19.41047085180034,-19.393561191501707,0.24884428630693378
28,28,22,Sokhda,0.25992789022000506,2.7501300319680526,312324.673138036,2480343.574408275,1983,1.0,0.010858755979602775,-19.64219926325484,0.993919514822166,1.0122727933787317,1983,1.0,0.025583654336236942,-15.920374213620303,0.9140667013924337,1.1968623994712861,1983,1.0,0.010194742833891195,-19.916237249844812,0.965545022012499,1.0726423548996178,1983,1.0,0.010195552331742852,-19.91589241869115,0.9979104798696744,1.0041921751314982,1983,4,measured,False,,-19.64219926325484,-15.920374213620303,-19.916237249844812,-19.91589241869115,-0.00397156502304305,5.747185894359556e-06,0.2862942345872722,0.27438281774363205,3.9958630362245096,1,-18.84867578635278,-18.833687896378223,0.2740379865899705
29,29,22,Sokhda,0.5681262967499904,4.0,312286.1877045466,2480362.232493596,4349,1.0,0.008107091605631653,-20.91134919668604,0.9844923175741984,1.0317520418069785,4349,1.0,0.023918634517614487,-16.21263617258553,0.8877376387950668,1.2689097445332485,4349,1.0,0.009519750015480026,-20.213744558511383,0.9480297776302674,1.1126435188394017,4349,1.0,0.007774199155909925,-21.09344338003074,0.9736673962874259,1.0548209446554335,4349,4,measured,False,,-20.91134919668604,-16.21263617258553,-20.213744558511383,-21.09344338003074,0.010110212147458787,-0.014661647025322643,0.3614394633923469,-1.577303459694015,4.880807207445212,1,-19.60779332695342,-19.38341243044374,-0.6976046381746563
30,30,22,Sokhda,0.33387090472674463,3.099761577523693,312300.8377141062,2480250.739550937,2548,1.0,0.02256816262429932,-16.465037973515667,0.874228619526929,1.3084283946426178,2548,1.0,0.04318589740854564,-13.646580512768438,0.9722206832442623,1.0579625330717757,2548,1.0,0.04818276917471299,-13.171082437163086,0.9274635150478608,1.1625357890671022,2548,1.0,0.04265155752929195,-13.700651048475477,0.9151710211323963,1.1939756792919927,2548,4,measured,False,,-16.465037973515667,-13.646580512768438,-13.171082437163086,-13.700651048475477,0.04773848603409537,-0.008826143521873171,0.21680442005747919,-3.823524147664971,3.2939555363525805,2,-14.245837992980668,-13.58738052192315,-3.2939555363525805
31,31,22,Sokhda,0.5907185134231113,3.769388055949375,312304.7553991333,2480119.593469395,4486,1.0,0.008106484836254401,-20.9116742533981,0.9982371747058157,1.0035349952081007,4486,1.0,0.01953277964720401,-17.09235949259871,0.9273312160548558,1.16286752228771,4486,1.0,0.01351487375590692,-18.69188006744321,0.8744288213531995,1.3078293298340118,4486,1.0,0.008089722743366903,-20.92066362576752,0.9691794846235121,1.0646125340690602,4486,4,measured,False,,-20.9116742533981,-17.09235949259871,-18.69188006744321,-20.92066362576752,0.03217093023123028,-0.03714639263873849,0.2937934431384146,-4.4485777442791985,3.8283041331688104,1,-19.404144359801883,-18.894273161445543,-2.219794185954889
32,32,22,Sokhda,0.10850434768809937,2.0843250620795466,312365.8539297467,2480045.8550035963,833,1.0,0.013641644177839595,-18.65133282587905,0.9370418368249537,1.1388906743413516,833,1.0,0.028621470978852193,-15.433080497662521,0.9533675838094638,1.100219246361332,833,1.0,0.009450718147517193,-20.245351887760652,0.9463001359296694,1.11671460226532,833,1.0,0.006947760372200077,-21.58155168754856,0.9891960935841296,1.021963099348364,833,4,measured,False,,-18.65133282587905,-15.433080497662521,-20.245351887760652,-21.58155168754856,-0.02310172553451599,-0.022269996663131824,0.24755787140127133,0.2578192620936939,6.14847118988604,1,-18.977829224712693,-19.188774423675547,1.5940190618816032
33,33,22,Sokhda,0.6522243259698269,4.0,312200.26859545766,2480232.166566859,5168,1.0,0.011430134613529963,-19.419486548567747,1.117086956553409,0.8013570060929072,5168,1.0,0.036065727244198466,-14.429053060925751,0.9254479172878494,1.1676052396609033,5168,1.0,0.010606848030263245,-19.7441365346292,1.2466192024363776,0.6434760324541511,5168,1.0,0.012022385652726892,-19.20009344894695,0.9828674480579898,1.0351662319956163,5168,4,measured,False,,-19.419486548567747,-14.429053060925751,-19.7441365346292,-19.20009344894695,-0.004705072261760174,0.009067384761370789,0.3838794990493843,0.8686930717436994,5.315083473703448,1,-18.198192398267413,-18.17978074143047,0.324649986061452
34,34,22,Sokhda,0.4679714340419392,3.6855786008819815,312248.7379599523,2480230.8190357657,3563,1.0,0.00981689323835928,-20.080259320617028,0.9898967423769583,1.0205169206193994,3563,1.0,0.03761912266712384,-14.245913370490598,0.8386523365054854,1.4217920366823897,3563,1.0,0.009293360106030001,-20.318272341583594,0.9215598658098094,1.1774782515827484,3563,1.0,0.01204810558128631,-19.190812352694437,0.9143788548079737,1.1960453619538194,3563,4,measured,False,,-20.080259320617028,-14.245913370490598,-20.318272341583594,-19.190812352694437,-0.0034494640719792153,0.018790999814819288,0.4487958423174177,1.365473009855723,6.072358971092996,1,-18.458814346346415,-18.42007645936913,0.23801302096656585
35,35,22,Sokhda,0.9922707549986197,4.0,312376.40250139707,2480909.8799445983,8249,1.0,0.0084218549417677,-20.745922431499473,1.0584520505423725,0.8926015214685554,8249,1.0,0.02303716349623872,-16.375709954644165,0.9293285078192909,1.1578744764883502,8249,1.0,0.008999855708902832,-20.45764453375078,1.0598700698779575,0.8902146638086122,8249,1.0,0.006609571784481573,-21.798266763178205,1.1390798570630347,0.7707111745143989,8249,4,measured,False,,-20.745922431499473,-16.375709954644165,-20.45764453375078,-21.798266763178205,0.004177940547082495,-0.022343703823790407,0.3361701905273314,-1.6289001271761165,5.42255680853404,1,-19.844385920768154,-19.692262597619084,-0.28827789774869217
36,36,22,Sokhda,0.9021299462507013,4.0,312398.82453906094,2480822.8203294803,7549,1.0,0.007619372818260327,-21.18080775744232,0.9873599937310896,1.0257675293730166,7549,1.0,0.019089966758796973,-17.191948278391052,0.9069481187146351,1.215724339018095,7549,1.0,0.009286653423633816,-20.321407619476034,0.9806652444925663,1.0398206365283078,7549,1.0,0.006621426489130694,-21.790484381101024,1.03815715949245,0.9278414995427379,7549,4,measured,False,,-21.18080775744232,-17.191948278391052,-20.321407619476034,-21.790484381101024,0.012455074463279512,-0.024484612693749835,0.3068353445424052,-2.3284768995912764,4.598536102709971,1,-20.12116200910261,-19.86940805729075,-0.8594001379662863
37,37,22,Sokhda,0.5266487272851634,4.0,312415.7181598119,2480761.726774935,4047,1.0,0.010088220834265528,-19.96185419490763,0.955717301455075,1.0948159192616724,4047,1.0,0.027918258099226143,-15.541116820909131,0.9371212954074041,1.138697549283861,4047,1.0,0.008405384298236115,-20.75442425616783,1.0087419750332425,0.9827426728931034,4047,1.0,0.010553891069746224,-19.765873926349485,0.9701305190590769,1.0625262438558583,4047,4,measured,False,,-19.96185419490763,-15.541116820909131,-20.75442425616783,-19.765873926349485,-0.011486522626959421,0.01647583883030575,0.3400567210768076,1.7811203910785451,5.213307435258699,1,-19.00581729958352,-19.0903364902053,0.7925700612602
38,38,22,Sokhda,0.49250785401011815,3.860375609717121,312431.74855751114,2480716.4007455925,3759,1.0,0.009766561634787755,-20.10258304844465,0.995463116414643,1.009135892775047,3759,1.0,0.026824951599868353,-15.714610529567572,0.9213267366883485,1.1780742164868332,3759,1.0,0.00803290630730203,-20.95127298449146,1.1471268497921754,0.759936159867677,3759,1.0,0.010222061735788619,-19.904615004663455,0.9729606701133796,1.0563538746813665,3759,4,measured,False,,-20.10258304844465,-15.714610529567572,-20.95127298449146,-19.904615004663455,-0.012299854145605943,0.017444299663800084,0.33753634760592904,1.8953479158748152,5.236662454923888,1,-19.168270391791786,-19.264597956010697,0.8486899360468101
39,39,22,Sokhda,0.6675339882759493,4.0,312458.9586806653,2480676.2917705844,5072,1.0,0.011619642374761546,-19.348072383017755,0.9584606507846936,1.0885576254178422,5072,1.0,0.03465187268980927,-14.602732898581326,0.9559691490417568,1.0942391424323037,5072,1.0,0.009906803064854395,-20.040664701655313,1.2226671342226818,0.6689343894290761,5072,1.0,0.011686738695816214,-19.323066662563143,1.07161904862536,0.8708014636552486,5072,4,measured,False,,-19.348072383017755,-14.602732898581326,-20.040664701655313,-19.323066662563143,-0.010037569835326934,0.011959967318202836,0.36502611418741754,1.4101903577297286,5.437931803073987,1,-18.32863416145438,-18.384552775686615,0.6925923186375584
40,40,22,Sokhda,0.5319990846380591,4.0,312360.69759363006,2480510.453219135,4208,1.0,0.00890780863523807,-20.502291214036973,1.0068655655825234,0.9864089933645253,4208,1.0,0.025608325914496567,-15.916188116081162,0.8754744253875781,1.304707239733437,4208,1.0,0.009885830470698877,-20.049868414042006,0.9848163634657738,1.0310731741164079,4208,1.0,0.009624846872602592,-20.166061712129924,0.9509739960626794,1.1057646882394778,4208,4,measured,False,,-20.502291214036973,-15.916188116081162,-20.049868414042006,-20.166061712129924,0.006556852173840095,-0.0019365549681319648,0.3527771613812162,-0.5686160980828845,4.58610309795581,1,-19.158602364072514,-18.994167459491276,-0.4524227999949666
