farm_id,ndvi_T4,ndvi_cov_T4,ndvi_scene_T4,ndvi_date_T4,ndvi_T4R,ndvi_cov_T4R,ndvi_scene_T4R,ndvi_date_T4R,ndvi_T1,ndvi_cov_T1,ndvi_scene_T1,ndvi_date_T1
11,0.4522932791619087,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.48632909853962064,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.33556479398120787,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
12,0.40290171940501285,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.3961626172065735,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.3027018497041723,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
13,0.3128105741575149,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.3479396114400065,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.2697641375711271,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
14,0.45814167549951973,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.3043414170561382,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.719035050451431,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
15,,0.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,,0.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,,0.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
16,,0.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,,0.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,,0.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
17,,0.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,,0.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,,0.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
18,,0.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,,0.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,,0.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
19,,0.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,,0.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,,0.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
20,0.46645406808444945,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.5293309974800515,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.2276194470478438,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
21,0.3462574799841857,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.43926542659148715,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.14293133743174072,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
22,0.3539004610633536,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.36026430655841574,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.2674730284013701,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
23,,0.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,,0.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,,0.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
24,0.3723458944078611,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.3684240578388681,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.22414262102422666,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
25,0.39390201000722735,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.4447226402174924,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.21773340713856015,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
26,0.34113166397485395,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.3658069018198849,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.1707028211479231,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
27,0.35240260451681304,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.41093035384837234,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.18484546615331185,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
28,0.52369439068372,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.26614569116287984,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.24494954761807147,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
29,0.23528923286147763,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.1942575049176932,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.16879211364806068,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
30,0.7013233818429605,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.738639981607253,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.43035835117756666,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
31,0.2712678001048413,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.23961770061172655,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.2332482383625081,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
32,0.35353859264452775,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.37891108387944794,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.43429337987521976,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
33,0.3708367483234811,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.40359616887412575,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.1682891254673709,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
34,0.3932895970050117,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.4337989607454183,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.20043999857525124,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
35,0.2634698715404621,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.32320730827666583,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.24893653982949265,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
36,0.2810579708201599,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.33472705702423844,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.23937446871669518,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
37,0.3292769693521208,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.3592936718407931,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.22375142388367966,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
38,0.3117984104549736,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.3327108902019781,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.21220880867350955,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
39,0.5107255264211811,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.5281264118861982,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.3520400718571354,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
40,0.4252119515331979,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.46776240860101387,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.2192622575830994,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
41,0.6872008194324941,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.7167747499730422,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.5912213180561056,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
42,0.8153817409636641,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.8640459723820718,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.2858983782865774,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
43,0.4480491979163781,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.42160008461535287,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.23202551708108468,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
44,0.4928994279891137,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.5159405983607592,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.21337504938882612,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
45,0.5018168364134344,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.5253835791983952,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.2348522737257532,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
46,,0.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,,0.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,,0.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
47,0.5947834365286222,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.5183679277727047,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.23558447500025193,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
48,0.41142567255884843,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.4337079585562611,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.2887791275272501,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
49,0.3117295247131853,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.30966386341201096,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.41555088574948285,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
50,,0.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,,0.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,,0.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
51,0.495386369703781,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.506552571342105,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.39904783896747087,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
52,,0.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,,0.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,,0.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
53,0.5779943488377898,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.638688424286834,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.25828350577644305,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
54,0.3145041432621984,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.3397718914814362,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.5701277794280566,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
55,0.23938239038222495,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.2328188913010305,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.23527215669690535,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
56,0.333539216013771,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.27941826374308254,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.2415376924768979,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
57,,0.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,,0.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,,0.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
58,0.45547364470733664,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.43720763952314606,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.6213329362640955,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
59,0.5521469662498308,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.5694315810524596,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.5153385426869048,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
60,0.4942665488527739,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.2602619513286015,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.4249204015576273,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
61,0.5491434829056471,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.3722577070265697,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.4305542311705779,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
62,0.3605180634966781,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.2924157385223655,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.21634598784348977,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
63,0.28846697889174766,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.292109749013455,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.2263224296367867,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
64,0.477375431236637,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.3602710426259127,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.44873336530291125,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
65,0.2615556338627818,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.2713478160428736,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.25305625066845994,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
66,0.25296096108841726,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.2641612915750321,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.20845570495848786,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
67,0.4687931059521988,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.41318710078339693,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.677215114606672,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
68,0.4074913733602905,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.4174280399023285,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.2824763625519108,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
69,0.31343234912030055,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.32555480739936127,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.5275365837802322,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
70,0.25599787994325,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.29221878129943407,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.4485337664551768,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
71,0.3684612437912288,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.4099373885758193,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.18138139116112734,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
72,0.4922668336973194,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.4427599550121066,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.30936731999669054,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
73,0.2435728267878183,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.24791924420214373,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.5640029911775688,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
74,0.7350024229435076,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.7924133894299431,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.6427748284494342,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
75,0.43538913698749687,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.47584568391781723,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.32786767255323496,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
76,0.4485579150141707,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.5691269998577576,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.31000231935693384,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
77,0.3389934361981319,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.3565821870434805,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.3997597846579446,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
78,0.3455280248076937,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.41926350558825015,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.17169749738241555,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
79,0.34177184999989185,1.0,S2B_43QBE_20251013_0_L2A+S2B_43QCE_20251013_0_L2A,2025-10-13,0.3683127176574946,1.0,S2C_43QBE_20251018_0_L2A+S2C_43QCE_20251018_0_L2A,2025-10-18,0.2399477302861427,1.0,S2C_43QBE_20250610_0_L2A+S2C_43QCE_20250610_0_L2A,2025-06-10
