farm_id,vv_20250519,npix_20250519,vh_20250519,vv_20250531,npix_20250531,vh_20250531,vv_20250612,npix_20250612,vh_20250612,vv_20250624,npix_20250624,vh_20250624,vv_20250706,npix_20250706,vh_20250706,vv_20250718,npix_20250718,vh_20250718,vv_20250730,npix_20250730,vh_20250730,vv_20250823,npix_20250823,vh_20250823,vv_20250904,npix_20250904,vh_20250904,vv_20250916,npix_20250916,vh_20250916,vv_20250928,npix_20250928,vh_20250928,vv_20251010,npix_20251010,vh_20251010,vv_20251022,npix_20251022,vh_20251022,vv_20251103,npix_20251103,vh_20251103,vv_20251115,npix_20251115,vh_20251115,vv_20251127,npix_20251127,vh_20251127
11,-8.475496126670873,48,-16.187457008961164,-9.90958082377599,48,-14.40816464312769,-9.914225648318668,48,-15.849066385592348,-7.544129941975363,48,-13.1858648779052,-7.910546675284539,48,-12.545094556349216,-7.100628180192166,48,-11.92218537891063,-5.656511499130058,48,-13.68854482870826,-6.296277051077186,48,-11.133918622180383,-6.464124217277577,48,-13.156203327731683,-6.9903853131592975,48,-13.956261936957436,-8.215333750780625,48,-15.81045002089039,-7.712704673729412,48,-15.280607375461086,-9.858957574891052,48,-15.033277488777584,-5.518505961997731,48,-12.69979655212383,-9.439253892679734,48,-12.760657160761525,-8.095620861554066,48,-15.331885755159472
12,-10.620618986867099,56,-18.631207596419237,-8.799071629443878,56,-17.147263411390423,-9.580107323895234,56,-17.765988933267685,-6.338262387554261,56,-12.233436499759073,-7.74175834927937,56,-13.529083497885633,-7.233751881582223,56,-13.25481974533327,-7.965586966688704,56,-12.833590897308856,-7.02666072047456,56,-11.143097757870645,-7.620391292553643,56,-11.77085704484702,-8.221493781778175,56,-15.889317393517677,-11.556183751869309,56,-18.1523449370405,-7.667490376630899,56,-16.194503496245698,-8.078415869703,56,-16.25665928577677,-6.434904797923363,56,-12.887740357077394,-7.468304046536909,56,-14.50362741354774,-7.989742185484371,56,-15.227316752695268
13,-7.77296411418796,49,-14.885914032439837,-7.2055432132634625,49,-15.190549819088373,-8.084031541901336,49,-13.974681452100747,-7.84280556806626,49,-14.389796540296736,-7.47939673166549,49,-13.725250620440058,-8.928225066610105,49,-16.382586145603437,-4.143531387328635,49,-13.224533594975203,-9.565979047690039,49,-14.720519676379912,-7.895843135739456,49,-15.870279751213799,-8.144486370491114,49,-15.281709432370105,-9.544689458422518,49,-16.164334603931493,-8.046900655591303,49,-15.591220720733482,-8.367208538517493,49,-16.226092077366975,-5.99969123093763,49,-13.202982634623073,-6.556281337509066,49,-13.977506282072659,-6.029968409047408,49,-13.858718673328358
14,-2.356957954051602,29,-9.920208778077303,-3.1961778395209612,29,-10.488191941842066,-1.1478325742550701,29,-8.763256426154703,-3.053586499987232,29,-10.28220169913572,-3.045302943046595,29,-10.516348758708974,-2.3963301983388954,29,-11.814935696711412,-2.7566461345758624,29,-10.54384291246089,-5.2376292625448775,29,-11.583161450279963,-3.9816434447321387,29,-13.145172498948972,-4.909127597887442,29,-11.911662303280512,-4.910614506964214,29,-12.874468456086046,-7.569945635025055,29,-14.345791425016646,-9.908542378557987,29,-17.394226117386157,-6.761899468720874,29,-14.104788836920658,-9.204776617209783,29,-18.76150177955529,-10.138123387736167,29,-17.335426526233995
15,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
16,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
17,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
18,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
19,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
20,-9.28316349249219,39,-18.285321941624105,-9.292229012147558,39,-16.998832730269598,-10.071371512646332,39,-16.644404488144332,-6.917830268605009,39,-15.144566464678588,-8.886353386357456,39,-15.266464045979745,-8.697310563070227,39,-15.700885956780725,-6.542213251025091,39,-14.328645217601322,-8.894947515075359,39,-17.047745589001806,-11.129581072003132,39,-16.74349115069613,-9.515621338228463,39,-16.67720825796173,-10.314077755360707,39,-20.204389202555184,-6.629415475915855,39,-15.225298373471388,-6.00254634550157,39,-12.662084551529206,-4.566316324000773,39,-11.148777141184286,-5.503207491987498,39,-13.47422062983883,-6.047220077316702,39,-13.030791828180902
21,-9.458406042310079,58,-17.283642195789845,-8.994520345988677,58,-18.250329958954826,-8.838203264218278,58,-18.023690601380054,-6.299297306344837,58,-15.351639771709847,-8.014944218858663,58,-16.471605710780704,-9.30504108879725,58,-16.268484829278677,-7.440542105497303,58,-15.789709467921917,-10.120977683288618,58,-17.959718210392886,-12.889267531711281,58,-18.896683009102105,-9.729415790730382,58,-17.534577858413797,-9.610874468232527,58,-17.803133631214884,-7.545525510665447,58,-15.501673786589787,-9.241517118368428,58,-14.99998896726657,-5.433412330826165,58,-12.21599406732632,-7.646483110429997,58,-14.774003971147705,-5.9484419460365325,58,-12.611348648571305
22,-10.493656633812252,41,-18.380172228464787,-8.560934836316639,41,-17.66628895737569,-8.680194146048235,41,-17.553861128207984,-7.371208766361718,41,-17.387377765236405,-9.397393650981837,41,-16.29635855756813,-11.248733298490425,41,-17.732531095591796,-6.84610760825238,41,-15.257237052923989,-8.918188296965358,41,-17.066968165437324,-9.50801498277465,41,-16.39312585130569,-9.600294446883579,41,-15.733062573925915,-10.103757832349416,41,-16.597903070123582,-9.274340645812646,41,-16.85622131607136,-8.789130063554651,41,-15.309912547403489,-5.960815197791146,41,-11.631063382128318,-9.858903908115462,41,-17.35953644583867,-6.5499188848912615,41,-16.31468449451881
23,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
24,-10.536377593185195,26,-15.915845099478583,-8.27762887784642,26,-12.741657572127593,-9.40191357058547,26,-17.63420181546643,-9.478426545104458,26,-15.269991343323499,-8.926398855921828,26,-16.58047098110564,-9.973898759468469,26,-15.784311414213636,-5.6122386711190755,26,-13.153995904904116,-8.917130474480023,26,-17.274052923717925,-9.156218096947986,26,-14.809529132015362,-10.243556919732189,26,-17.102424090982783,-9.900943029611016,26,-18.35426250443386,-9.428740271952346,26,-14.411649130837791,-9.03320031295776,26,-16.760313676834674,-9.305615587087882,26,-16.274487113239545,-10.166297743537445,26,-19.831743132560295,-10.05600899213083,26,-18.518289781656087
25,-8.822853686366976,11,-18.99960726610572,-6.360603577656539,11,-11.984972667011931,-8.615404624728676,11,-16.978822308479042,-9.140162078041259,11,-16.100560009632044,-8.99072029468726,11,-16.302368032056012,-8.118496882929026,11,-13.767135164761267,-6.22569940940949,11,-12.582542971000617,-7.56972271196961,11,-17.682202650708238,-11.099224313319995,11,-18.766204495914955,-8.99533750631609,11,-18.04122267196264,-8.559671616258393,11,-15.691007289001233,-7.876235584253653,11,-13.780983439963311,-7.312422473132965,11,-15.341836192295482,-5.074920436533339,11,-11.843709861776164,-5.402884410099322,11,-12.635793257593061,-5.990603749844473,11,-14.11108797084509
26,-8.647851424263681,50,-16.401987177620107,-8.669639562962605,50,-15.097621380987217,-8.26788924591414,50,-15.359068916039185,-6.741239663543213,50,-17.466033003220257,-7.809576778369326,50,-16.91198753837984,-8.479241219114755,50,-12.934123271864513,-3.9865786070785756,50,-13.030935389658323,-5.0520049347952,50,-16.989259579543845,-6.7897270446496085,50,-17.39707759992614,-8.31483382470125,50,-16.15023464833943,-10.040595338572828,50,-17.881566941038663,-4.9124534046218145,50,-14.796861692384635,-9.432977593536272,50,-16.282942028139168,-4.9404150111927185,50,-12.749007098328613,-6.478171074051239,50,-13.491893289992593,-4.666523477501169,50,-12.222858718214919
27,-9.6877277038442,53,-17.60643185772154,-8.779036964712448,53,-17.413054388835064,-8.232130333313828,53,-17.437283246163528,-8.23302668052182,53,-16.092693437927494,-9.200217027389654,53,-17.019164177732613,-7.71968937335092,53,-13.172867963880996,-5.169788604608778,53,-13.508873191753711,-7.353116441965232,53,-15.98756414093085,-9.520059171336051,53,-16.92411681191188,-8.819202572246331,53,-16.650798475275344,-9.028695323565358,53,-15.777051798768744,-6.986954885499291,53,-14.959839862896413,-9.615770296307474,53,-15.337299302687288,-7.7630236317961625,53,-12.837865511476618,-6.619872067021699,53,-13.724990915740491,-6.915880520260332,53,-13.537992841376656
28,-9.316629998781398,26,-16.996857839527163,-8.387143605124145,26,-13.555389855928713,-10.864305031767557,26,-16.78978431600146,-8.71949073594815,26,-15.22967421926058,-7.378490629867968,26,-14.582724447735664,-9.043430140504356,26,-12.927800303937786,-7.804156249311712,26,-13.92767902786699,-6.288474886304152,26,-13.69857845229368,-8.899975188013485,26,-15.124487237939281,-10.544040847333111,26,-16.167950044383254,-8.085817444236673,26,-13.666106129449885,-8.593031624777385,26,-13.78414828542073,-9.86015949059347,26,-16.77749294111356,-5.991601215300983,26,-12.502216494552716,-8.763851712528208,26,-15.947457919886043,-7.8855419422083415,26,-14.392207663991623
29,-10.00611372526057,57,-18.476108792307848,-9.055592789421599,57,-15.705449750942895,-10.146710729981995,57,-17.530827747551008,-9.925291738435039,57,-15.799126166151254,-7.998389084408787,57,-12.711599032201057,-5.882414650694276,57,-11.164141774999432,-6.140901087041518,57,-10.695220720623183,-6.740968847729326,57,-14.312755299429213,-6.292808878199852,57,-15.405187973072618,-9.955514038453835,57,-16.91079321522183,-9.05912999692531,57,-14.92622622244533,-6.747762595060596,57,-15.08130076275015,-8.976187286108614,57,-17.123410225699402,-6.385977178794954,57,-13.383070166640145,-8.906194112934356,57,-16.610338277873346,-8.077284025950492,57,-15.73121504057281
30,-6.262029291704643,31,-11.908229720788906,-5.673291754586922,31,-12.470824013821154,-5.779451413418984,31,-11.282752082792113,-2.615240778385412,31,-11.777715521877248,-3.092686848167877,31,-11.123554871646906,-1.7965720202016757,31,-10.264283596763855,-1.2123342176619962,31,-9.021571490666028,-1.2266805331565396,31,-8.601923436757874,-3.5750602411502603,31,-10.349366362006414,-3.3296284228401345,31,-9.351819987213528,-3.6569525128442804,31,-11.298776966713566,-1.249505246258966,31,-8.207523877063313,-2.3333647185972555,31,-10.846077217928208,-1.7981540323764604,31,-10.630750823690153,-2.222638712840027,31,-9.866936029336749,-3.2947652842548507,31,-11.507251897579751
31,-9.13029229702779,56,-16.075118682778776,-11.189016350382438,56,-17.2620060102307,-8.900893994551929,56,-16.518028807370996,-9.566555560035114,56,-16.856345647568304,-4.935006639437846,56,-12.455404733775257,-5.03088857967812,56,-10.480723447614395,-5.197653050852464,56,-11.433148451154144,-8.85029206814033,56,-15.611980081921732,-6.779565195273799,56,-13.389441181715718,-8.479939233658886,56,-16.446840143585106,-9.515496546676461,56,-15.67728856611043,-6.602662350639799,56,-14.814393046974658,-9.32783985465245,56,-16.07635071808035,-7.012452695323076,56,-14.671426262195471,-9.543060156850222,56,-16.137612944842218,-7.886860766672354,56,-16.511369200490414
32,-12.017292646847231,12,-17.83119647822869,-11.899111994766116,12,-18.20194780232503,-8.608788438264309,12,-15.783970789948576,-5.723088798939058,12,-11.325680802534539,-7.005326673414737,12,-11.384963951263014,-4.138395415579683,12,-10.68276165233934,-3.147723580863469,12,-14.13563881064717,-7.7862133178980155,12,-12.596084752297326,-9.048295865171243,12,-11.348553304709476,-10.01187116353158,12,-15.419456832086027,-8.754342295705552,12,-16.308871950899942,-6.3048799562108915,12,-17.005932459063953,-11.779810296125055,12,-20.214944563133386,-10.253699453137063,12,-17.987733073087412,-8.625461035051455,12,-19.294033219632404,-5.127243412853658,12,-16.688592987225643
33,-10.48659530001081,64,-17.480881448697602,-8.963821832106484,64,-18.203848764143643,-8.270154989187695,64,-17.742574383916434,-5.999851145867704,64,-16.383479516318523,-7.056809073085905,64,-15.134319255815885,-8.422534799900289,64,-14.336473627983308,-4.3771246473359655,64,-14.682268628451416,-9.084995804071655,64,-17.57051152722767,-11.768234120959029,64,-18.712470091813504,-9.687071188262795,64,-16.52359302848072,-8.586327320855137,64,-17.238482785538768,-6.918862437695685,64,-16.108097506275495,-9.620873054651124,64,-15.687216444740875,-4.269527554564197,64,-13.799267460960177,-4.169589263569194,64,-11.503955387875891,-5.151979461753497,64,-11.8122769904374
34,-7.773958161252251,43,-14.334497862335953,-7.349609425657682,43,-14.742487417530956,-7.232040674687678,43,-14.46831485596153,-5.006609547617698,43,-13.217504360729501,-5.73152787065489,43,-13.708390883982144,-6.278357443399769,43,-11.575129936659083,-5.739170067634742,43,-12.584019531173894,-5.353895376811574,43,-12.895640276393898,-4.589439346147375,43,-13.097178138510284,-7.019996445390823,43,-12.985107064975747,-6.600903370641504,43,-12.88944819317361,-5.81891796806023,43,-13.164016126629472,-6.745825334070719,43,-13.672062938369876,-5.737763810076024,43,-13.412540499683951,-5.513178093198702,43,-12.642390466477899,-6.973112921971164,43,-12.799611318994128
35,-11.300980265952544,99,-18.932085156294477,-10.45579822886795,99,-18.276476073121323,-11.440175017403982,99,-19.048472249854335,-6.946820203971111,99,-14.432465481606748,-6.291041588108258,99,-12.403553668393636,-7.346875680786211,99,-11.732503349679561,-6.303814918905141,99,-12.880240382344157,-8.96103717218835,99,-15.676920717408716,-9.544349483514564,99,-16.94044952081461,-9.173361956260567,99,-16.333429367994565,-9.130065599550942,99,-18.881748567772505,-9.046963965485794,99,-17.020440442553287,-9.15211540399168,99,-17.22004447461359,-6.692692301551899,99,-14.02253183662297,-8.609328900627201,99,-16.98243626403415,-9.219084769385248,99,-14.562835910534835
36,-10.869934563715915,90,-18.388181811867373,-9.553625423477847,90,-16.59857914753608,-11.255288779855695,90,-18.408312492557183,-9.679738430177164,90,-15.764418502267109,-6.834856433405103,90,-13.793892201972351,-7.075443631671323,90,-13.07609257318719,-7.913060296247,90,-14.745781377046933,-9.831085950638258,90,-16.061208122797282,-7.839199023162026,90,-16.014937731057024,-9.375253840801744,90,-15.795144272290715,-9.231090394097471,90,-17.087474415768,-8.843601956487472,90,-16.665247280366092,-9.190166470348888,90,-16.880513714823767,-6.257879882922843,90,-13.921914255600958,-9.120427982976917,90,-15.86640452779302,-7.570190808834292,90,-14.590883231186458
37,-9.565886842755427,53,-17.55262487431606,-8.65840158434422,53,-15.925023492119607,-9.817566675030623,53,-17.653937177715438,-8.519857341926064,53,-16.828127774297318,-8.493790069649146,53,-14.71770212592874,-9.34012283211921,53,-14.563845732552352,-5.947361440023603,53,-13.573863146879265,-8.290804075880986,53,-16.158665201798286,-9.213668947784281,53,-17.561267006085345,-9.465096073759002,53,-14.993087278015087,-5.996190370348814,53,-18.37080909810786,-7.939458249425075,53,-16.829369766833345,-8.77339837668875,53,-16.38108003282779,-4.934054939634656,53,-11.842302493421782,-6.934259136556705,53,-15.198611548728865,-4.886661252418602,53,-12.781753822478276
38,-8.429703823048559,50,-15.898676263441738,-7.238203870510741,50,-16.46969057610097,-9.3925216743382,50,-16.802469198648495,-7.61738699466708,50,-16.015577938976076,-7.1299687366870845,50,-14.046754066682807,-5.946736633623133,50,-13.641793049247951,-4.937029297666308,50,-13.473590112024997,-7.656264055839818,50,-14.142737526460182,-8.078071521647358,50,-15.107759248858754,-8.823564352033713,50,-13.863035311997393,-7.037530819681615,50,-16.813210584636124,-6.466478950158354,50,-14.23659968607333,-7.0377006768785755,50,-13.957271884231401,-4.699265324856091,50,-12.639316126510725,-6.755311388477092,50,-14.647062726713195,-5.6214254638739245,50,-13.670655595478598
39,-11.349300711723071,63,-17.706895316351943,-8.91109156000314,63,-15.541839840733275,-10.696213236261302,63,-15.984115280748943,-6.66371174192038,63,-14.922263415098968,-7.0727499357740005,63,-13.715193813899758,-7.086237696372563,63,-15.138000417785511,-6.889529352319862,63,-14.210597741651172,-9.340253581172165,63,-15.536092547659774,-8.49715950222498,63,-14.929159882101018,-10.3866797782245,63,-15.667766195114279,-9.386614986475749,63,-15.979409160787942,-9.096124155317245,63,-14.3484231491352,-8.624566164958093,63,-15.417143149114565,-8.429474014530667,63,-13.633315627145935,-8.83457809833656,63,-15.942698292894054,-8.455064796224411,63,-14.90525287543121
40,-10.49545749437942,53,-17.514357297608136,-7.921155095183909,53,-16.007410729105935,-10.33919457710783,53,-16.697327344422327,-7.40800511105924,53,-15.892914139350795,-6.428264574865076,53,-11.14219281081785,-6.9550999223757115,53,-11.717129244847797,-3.5826455846716696,53,-11.75680745856827,-9.29926558332128,53,-17.223848774568097,-7.090148652014837,53,-12.770287518802308,-8.681672409365852,53,-15.679868956800044,-8.938781504988157,53,-15.714450615042296,-6.96351257181183,53,-14.576162600833062,-8.297402351455167,53,-16.582705180227602,-5.6422638927644115,53,-13.190043261826986,-7.993589408710786,53,-14.955733721473095,-7.981204779949343,53,-14.621846313559733
41,-3.627345672871713,98,-10.78262812594781,-3.904492968008289,98,-10.946951840081557,-3.6282053599982693,98,-11.204374624413486,-3.5615990107157125,98,-9.75296592923041,-3.5409669304525986,98,-9.465771312822238,-3.4186976899734023,98,-9.29564059453191,-2.5531372364892895,98,-9.247137124210964,-2.7156941095203084,98,-9.139456213500448,-2.9895493761119933,98,-10.125534025247036,-2.9131914517294994,98,-9.608566817565459,-4.065446564083876,98,-11.144648168403464,-2.2606657203036513,98,-9.743175777346263,-3.4772111174201745,98,-10.306638397128749,-2.9490475380962904,98,-11.15563916243563,-3.961624142568751,98,-11.162395830220513,-6.956644257435553,98,-13.547656931987698
42,-7.228751431873523,137,-14.155163347947855,-7.675184657842788,137,-13.696878273863913,-8.723711690229411,137,-14.437166634277238,-7.097330530733032,137,-13.097769692624022,-6.270438246872808,137,-13.0525772382562,-6.2998771335233075,137,-13.095797270134899,-4.594489457252238,137,-11.271045385510114,-3.3626907119658793,137,-10.507602186033516,-3.3138117712561783,137,-10.406710533541768,-3.1059803668500203,137,-10.669347463803597,-3.6159098502327347,137,-10.918547813330397,-2.8054936184397783,137,-9.210250496339466,-3.765116103367342,137,-10.396744982335523,-2.687452721254853,137,-8.848848978488476,-2.4559012812175576,137,-9.790438640398703,-1.9252061162758607,137,-10.461471829011861
43,-7.192885872835379,59,-13.148672409888682,-6.058632186568262,59,-11.878538327568112,-6.236562711255086,59,-12.769952777198402,-6.671943062564237,59,-12.687548144209213,-7.206896912672174,59,-12.129178427957592,-5.244286227612872,59,-12.205429983822329,-4.72378346156461,59,-12.207728579383133,-5.540476635223623,59,-13.032766713508884,-6.13500052186385,59,-13.18304834577614,-6.634398729794471,59,-12.736558141595143,-7.171733374380873,59,-12.894050421319019,-5.421998838695278,59,-12.340535630984995,-6.666795384992902,59,-11.843270709844587,-4.715687226523747,59,-11.634291768245262,-6.155154924132312,59,-13.350198274504434,-6.975992369283638,59,-14.886660411283776
44,-10.517783852988195,35,-17.399199772356155,-8.499317001957579,35,-17.217721481507695,-7.431873961009133,35,-16.19530527279632,-10.551965336166496,35,-17.682270357342208,-9.063053376183658,35,-16.23561348140289,-7.101436631997578,35,-14.240819039494673,-4.030541518150666,35,-15.45572268736704,-6.6938585177494865,35,-17.002932181444226,-8.846736061661378,35,-15.91655186604796,-8.594314087385014,35,-15.65905311886359,-9.108634652980777,35,-16.975335202145104,-5.912137200555264,35,-13.70141456669433,-7.478117733714813,35,-14.539614674855883,-6.5956459036224535,35,-12.831795972180817,-7.42355261769284,35,-15.393286933373284,-5.4394664059759945,35,-13.715031688316344
45,-9.032865531387111,45,-14.346267118813874,-8.905559118295162,45,-14.527302339050019,-10.24531932728253,45,-17.484640948189952,-10.420908425270914,45,-15.97096362104186,-9.9674760219835,45,-15.336141867228275,-7.499331610505311,45,-14.581568544348777,-6.198576064594046,45,-12.329647380795452,-6.09674838148997,45,-11.643398392185356,-5.084496839096949,45,-12.871424953657666,-6.605122578419509,45,-11.967970442361528,-7.0357711194212955,45,-13.171124483635122,-5.339816573731209,45,-11.18975134397634,-6.042167647418144,45,-12.62577782995455,-3.5393206585842076,45,-10.730270365086678,-4.229919897156006,45,-13.127843510794055,-5.193438897800073,45,-10.751410800333643
46,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
