farm_id,s1_vv_db_20250507,s1_vh_db_20250507,s1_vv_db_20250519,s1_vh_db_20250519,s1_vv_db_20250531,s1_vh_db_20250531,s1_vv_db_20250612,s1_vh_db_20250612,s1_vv_db_20250624,s1_vh_db_20250624,s1_vv_db_20250706,s1_vh_db_20250706,s1_vv_db_20250718,s1_vh_db_20250718,s1_vv_db_20250730,s1_vh_db_20250730,s1_vv_db_20250823,s1_vh_db_20250823,s1_vv_db_20250904,s1_vh_db_20250904,s1_vv_db_20250916,s1_vh_db_20250916,s1_vv_db_20250928,s1_vh_db_20250928,s1_vv_db_20251010,s1_vh_db_20251010,s1_vv_db_20251022,s1_vh_db_20251022,s1_vv_db_20251103,s1_vh_db_20251103,s1_vv_db_20251115,s1_vh_db_20251115,s1_vv_db_20251127,s1_vh_db_20251127,s1_vv_db_20251209,s1_vh_db_20251209
14,-4.002129356754748,-9.767549413626437,-2.353566565615183,-9.85612606475462,-3.3404175814488744,-11.119893114792085,-2.836798341158468,-8.6414413659156,-3.2461387312626955,-10.604696952549286,-2.6215652087297245,-11.214287182432777,-1.765884052415346,-12.016672886141894,-2.5322078628824944,-10.566884830167218,-6.243119912427545,-11.823885458935266,-4.633985018664775,-13.238311761055714,-5.816110650668175,-11.499369745765515,-5.391963443708066,-13.068331675708457,-7.426120202447793,-14.198913040053633,-9.535357152113516,-17.65508189773898,-7.294947884725454,-14.4292854093736,-9.807376015251174,-19.337058169945486,-10.327398899034662,-18.4369614461042,-10.652495951647438,-18.852236734251456
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,-4.291800469855318,-12.53530937985005,-9.615503823339495,-17.91207675828543,-9.468090290997575,-17.52848313112599,-10.316139329724908,-17.057779592432546,-7.285041526219672,-15.034638855149804,-9.24188498576583,-14.774547066061503,-8.371413971739866,-15.483148451195945,-6.582026381821043,-14.34582219980442,-9.175569805084443,-16.495381330501594,-11.339273741684316,-16.56299850722862,-10.166087361872108,-16.687454264348556,-10.87782513046243,-20.075716520601826,-7.216876948717132,-15.201271560882695,-5.880906010743438,-12.655323863147778,-4.938596278222885,-11.177780713819779,-5.549007983181392,-13.709472742660163,-6.053845996809222,-13.228468225240352,-6.799945637017823,-15.285190225165072
21,-4.344994937685225,-11.758458097265052,-9.72850630249981,-17.107672570269273,-9.424798277498748,-18.623478525689947,-8.672092169464596,-18.139367859191264,-6.902999288284519,-15.915346131200938,-8.263689785593627,-16.595862849792887,-9.735244070090982,-16.32953850653362,-7.514513323670327,-15.777822692433041,-10.540594289607,-18.59800861850043,-13.746622175354117,-19.75996234014717,-9.958795621607106,-18.035646838729097,-9.634241885826878,-17.97887403949511,-7.980101975749472,-15.549306167743662,-9.756230285070668,-15.272032170312176,-5.591886687238054,-12.338866077801892,-8.10642117350949,-15.368087543488095,-6.267719112513106,-12.850627330389159,-6.770461173021084,-13.445869934026419
22,-6.781461111909582,-15.628679458966037,-10.616195419794142,-19.45920707169378,-8.807865759359801,-18.552575124130506,-8.923186556418957,-17.744277164407364,-7.144618796248659,-18.363206245934872,-9.942918595146718,-16.78813235311498,-11.273886696061162,-17.8389867002659,-7.30890866382202,-15.207001940671317,-9.115335466005005,-17.646289332257428,-9.637422678424972,-16.57287837144964,-9.753927526266194,-15.771638752447132,-10.469554872850004,-17.15633084630776,-9.796945867927704,-17.582618662540504,-8.22574885592406,-16.13166931265656,-5.799423001249777,-11.793276947560663,-9.998208348745376,-17.894990667587894,-6.6681646082075705,-17.921188497489272,-9.864384620647785,-20.267196432778437
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,-8.926231480777718,-14.093431964504619,-10.666096845733446,-15.241201688651243,-8.647630082773324,-12.838734887316114,-9.284845518186845,-16.851463615120835,-9.438030477910871,-14.546591678898267,-10.063419626437959,-16.20788908151694,-9.486012682534206,-15.471069557404943,-6.010253717856476,-12.854298939904838,-8.947431228875221,-17.399185047997527,-9.36579481246569,-14.680224697899042,-10.46659060393075,-17.39950729364536,-10.380657374322052,-17.946633430616977,-9.41414765385041,-14.816009956937119,-9.297422420547573,-16.954289305614285,-8.99211467453309,-15.998299812564179,-10.539325036379338,-20.066725159435215,-10.137707291437454,-18.622573904245783,-10.23537957741697,-18.579108859582703
25,-2.2505660465051025,-13.924051019525463,-7.99396801364149,-19.022821517395077,-6.842506433710188,-12.368025991515857,-9.590940990271799,-17.835015285460564,-11.384542319365842,-17.392638640073493,-9.46257312624234,-17.249125743710835,-9.471531104933824,-14.664158925071133,-6.367272078372102,-12.310508181640538,-7.605095849798168,-18.670799168695808,-12.280728562023338,-18.950156012771803,-9.653070107933754,-19.561416315592144,-8.579840792094249,-16.152568886708334,-8.198495479499933,-14.190500084646034,-7.599731863990472,-15.505717541167542,-5.138443628592264,-11.371303871393314,-5.919990194244493,-12.177927676202337,-5.962151013557757,-13.948457223056534,-5.283551184964608,-12.551735284397997
26,-3.9806037245225196,-12.853311072520846,-9.521751914678534,-17.828877886893654,-10.093329898296696,-18.100307723728136,-8.445298492166238,-17.772864221615347,-6.482017248065751,-17.82832884578869,-8.25149136944265,-17.268001244331206,-8.098494754251176,-12.49715454403985,-4.057932615680714,-13.114079402675262,-4.973716744611512,-17.034817937611322,-7.4688506667786845,-17.834602547309263,-8.157775059914412,-16.4329449834638,-9.92437020197393,-17.752490661118443,-4.901709178491529,-14.666017983056234,-9.706473983650652,-16.745436536985064,-6.415939687857129,-12.871436150446623,-8.851027189355067,-14.507621705494056,-6.3088308405672135,-12.778851510758006,-5.069381920083941,-13.49035089694764
27,-4.524220687295692,-11.935040284365229,-10.48726508930455,-18.673549580146165,-8.635395214670291,-18.10227879254334,-9.540785236719792,-18.707459035089716,-9.86972912563815,-17.47796335433305,-9.83097096782104,-18.148721190104933,-8.045924864377408,-13.39272023573519,-5.5189566453998316,-13.54399294512634,-7.9601469541360785,-16.5157070688335,-11.202773430644871,-17.64128252298079,-9.484666721291005,-16.842562501964583,-9.31992200963667,-15.752175229100589,-8.032820691126206,-15.237278623174817,-9.979396413253006,-15.16649903625834,-8.154901554173367,-12.905329796334291,-6.520749640222895,-14.124904231299979,-7.1360062961868485,-13.325336417254746,-7.837789510418841,-14.11363951553801
28,-4.776751986951848,-12.30026721053073,-10.003027221576701,-17.061100599477136,-8.981788434954632,-13.936059973384952,-10.79154286648405,-16.395770720998563,-8.394667865415366,-15.428982060370608,-7.068401104076518,-14.204645975972799,-9.00218573300555,-13.400738286789922,-8.164254563779323,-13.861373053710466,-6.937081285498903,-13.979823884967011,-8.768435988541524,-14.626658449343683,-10.281900921878762,-16.356351912474672,-8.731811655212486,-13.593472365746608,-8.811336814871442,-13.678688585326013,-9.977109542944726,-16.472505905212195,-5.4898372593661335,-12.307152385831571,-8.693091586845188,-16.134567929320305,-7.83747660872518,-14.085797635306129,-7.710331162456413,-15.89034929279011
29,-5.590798617657711,-12.652226144593296,-10.03527622331384,-18.7273744063413,-9.426028278329719,-15.278067690274861,-10.525235033939097,-18.250553124699,-10.010862641769222,-16.550434537254894,-7.833194422731626,-12.515456700152631,-6.044733026100408,-11.680229080544782,-7.079102165400158,-10.906115889876622,-7.4541889543755655,-14.329038528409814,-6.1336334462787265,-15.494312131944989,-9.801871610426797,-16.998790364175022,-9.454318132114437,-14.937293017205015,-7.133611787924371,-15.376401199695248,-8.589676708404332,-18.508432464375694,-6.627105755346021,-13.77462430556186,-10.298243608884047,-16.845867663148844,-8.53533589066735,-16.051053137995112,-10.511962695103117,-16.290201462696942
30,-3.994794803786867,-11.12916007228681,-6.341960018503442,-11.996448109207225,-5.787021328960468,-12.481455330557427,-5.738807119136703,-11.197720393483676,-2.7921664741212937,-11.267098629833814,-3.675375737348985,-11.532685550932264,-2.5346130796216477,-10.381825616203155,-1.6354812134493077,-8.889597492396414,-1.625455125068801,-8.289389113349623,-3.6810493974425302,-10.057435915998077,-3.4726508311649114,-9.652676546635215,-3.3163190977574915,-11.101382450833823,-0.8875918426015234,-8.424089705926512,-2.573727805574193,-11.137539390696682,-2.0876701692522257,-10.455778187110507,-2.3947993456371197,-9.87508980498452,-3.497214650238896,-11.432191402187788,-2.2882041048935604,-11.673248352722663
31,-6.451026773997358,-13.517294281406622,-10.068011840100656,-18.284498890767804,-12.157269877100681,-19.5110460382799,-10.53976249112408,-17.16951912013482,-12.100377868471151,-18.68604247596915,-4.7362244049113205,-12.638869510757376,-5.4473159419706585,-10.291792380495963,-5.001094616867581,-11.098259369737065,-11.782850219467441,-17.426973413418242,-6.72553445882106,-13.511821648295275,-9.496024332206064,-17.222927332728084,-10.435465169538059,-16.34244839971347,-7.17619368541143,-15.398139145118607,-9.51068161705712,-15.970345496947246,-7.711546211173496,-15.068404078050738,-11.052434915457695,-16.819193187358163,-8.451484429192707,-17.18643704224676,-9.70361849126418,-17.005612319558345
32,-8.953179228343396,-12.676749639918096,-11.478711373517775,-16.638490873605512,-10.210599831284314,-17.554897678092438,-8.598526280203401,-16.693322048039075,-5.1944332674451035,-11.56687433116196,-8.10601069065242,-12.574435995984883,-5.37712133187727,-9.988823662591166,-4.994189500178355,-14.67996305368002,-8.110173596359049,-12.06534348162921,-8.216706830129555,-10.658884343715474,-8.160040155733665,-14.654912174826269,-8.213222785866396,-16.14719592430896,-6.063500565133272,-15.950566501682777,-11.79939365819685,-19.08499463893666,-11.706587967130943,-17.403239751140166,-7.665911116916798,-18.431845638912748,-5.493413303595016,-14.475272995448869,-8.22795760106214,-15.82252840667546
33,-6.6958300289201835,-13.063406214085525,-10.975293004759145,-17.476336123774537,-9.512525865027236,-17.99261666298255,-8.264348037151391,-18.16992339251367,-6.603263866851892,-17.15210585036733,-7.649468133374279,-16.288135649255018,-8.625212001610237,-14.757024126164906,-4.341337687743019,-14.779705473694353,-9.532869971576174,-17.6807720210267,-11.769135865425756,-19.28376072915163,-9.96730315546987,-17.149964781107812,-9.096493351408881,-17.82750933849046,-7.1866379880307685,-16.32213603121007,-9.898179507123583,-15.627645239877632,-5.096351790516669,-14.627781807882542,-5.336613132296084,-11.730178321237716,-5.157125843982677,-11.936595622558935,-2.8499507600216307,-11.618167277888823
34,-5.178946624719922,-12.914003095139607,-9.340245462656105,-14.708705590678093,-8.343498273419868,-14.78824011925973,-8.284414150373113,-15.210088846999401,-5.526337733497035,-14.084935147127426,-6.241618733840681,-14.07348953027231,-7.518694327706925,-13.048822892259299,-5.611746284776221,-13.581718368580702,-6.757751878685859,-14.85536187497364,-6.019111207565514,-14.440386185992436,-7.954817680270104,-13.824404803095824,-8.337222090346769,-14.215120077586288,-6.5482102396671715,-14.689853991082401,-7.158209479912143,-14.442043876403845,-5.731505758149837,-13.69752931355642,-5.830116468302132,-13.073691018078627,-6.913810456479244,-13.340495926751183,-5.057093925363109,-13.262963782089084
35,-7.719585247238805,-13.595301669697406,-11.842756244644557,-19.156327030484025,-10.69482022394364,-18.568991017498536,-11.81523334837287,-19.151266697270255,-7.149765566956249,-14.84050865465731,-6.208163073527305,-12.700254578269735,-7.485861362908002,-11.741249552166291,-6.762400655061354,-13.12232765459582,-9.01133744466023,-15.881863346143867,-9.549776359033794,-16.876173875430325,-10.159025578536987,-16.635374624835,-9.010656922068263,-19.188099936813643,-9.84022086321874,-17.81096100015747,-10.134325198891299,-17.972269401827997,-7.068771798106226,-14.70044910907492,-9.205719598544556,-17.363882987267402,-9.81445314243773,-15.433999074139981,-8.631925425296398,-15.712693695706035
36,-6.991652219347557,-13.532790856873811,-11.755986793752838,-19.526692484059065,-10.191652120199537,-17.093991615285145,-11.682512724128438,-19.113979941136982,-10.987080822935056,-16.88486190930692,-6.837545890826337,-13.880848107552541,-7.190788318808555,-13.32274171720326,-8.687876038874261,-15.248292409448663,-10.397672573651558,-16.523654148214078,-8.19994467216692,-16.504771782790225,-10.208429826227414,-16.49293240275761,-10.398878743935796,-18.4663772279132,-8.872286378048882,-17.07669763554899,-9.517006155006658,-17.46142894798683,-6.690622883360461,-14.102709361659098,-9.436522241893156,-16.845886053921713,-7.9579246849912035,-16.255143003407095,-8.90029358004552,-17.156224304476254
37,-5.653354380533027,-13.713390243631691,-9.73045212096279,-18.795458194516396,-9.094454509562642,-16.61686072629029,-10.396173573377656,-18.624720146276577,-10.172236402646943,-16.932397015584606,-9.608579080264283,-15.364415291257451,-9.737104889197838,-14.925035092421696,-5.952620785496075,-14.042794267316625,-8.275311495405624,-17.77099412781557,-9.855874864823564,-18.735957210022534,-9.853699345737285,-17.342439798009334,-5.925614738348496,-20.004390594040604,-8.372229998381812,-17.33966267733308,-8.965520116815265,-17.125594057110305,-4.915385659558237,-12.401501818811049,-7.043128136126313,-15.357012323561168,-5.082927165558969,-12.532921605896949,-6.474905616422591,-14.911568506669875
38,-5.534457605214783,-12.432625821514149,-8.546431009304222,-17.746397448602778,-7.911098925917855,-16.893722441671454,-10.373934525235578,-17.30072259203809,-8.273281173497441,-17.090570441379967,-8.602766902764898,-14.559084721643828,-6.096830324079931,-13.945369841159916,-5.004149172886729,-13.586528435893078,-8.115791437623422,-15.1406691127862,-9.20996496413435,-17.43434333419921,-8.713499766277469,-16.587252658463264,-7.943921535521938,-17.532322646944202,-6.856113831645788,-16.254375653505527,-7.992902268110276,-15.53665640947495,-4.417422681659238,-12.4679479047307,-7.093807587689773,-14.882316387212173,-5.757412122056601,-14.020778832395262,-7.354071187401056,-13.500194096351365
39,-7.438249598500017,-13.587894083863203,-11.456084140421632,-17.858700801971597,-8.854931632504268,-16.22399507786941,-10.796483635498577,-17.02726493173923,-6.774396202682516,-15.317819484292531,-7.564117498119013,-13.819484111912567,-7.8653240546593075,-15.627278289501433,-7.028174337076574,-14.182213582759184,-9.346687761286047,-16.216738869915062,-9.015682831188741,-16.4910111066374,-11.376924948525913,-16.473517669950716,-9.670112094265878,-16.783295938304196,-9.139552865732934,-14.37591822836528,-9.20200852366092,-16.019400846625768,-8.524982519118279,-13.718617748112766,-9.017279861685948,-15.769762028760683,-8.362499494217651,-14.73147366935994,-7.468901974225126,-13.867033316562837
40,-5.871549719415543,-13.674132242061162,-11.279175578764175,-18.156878485882338,-8.36874388529636,-18.764745881408377,-10.53143168080683,-17.589053814785974,-7.404703949483792,-17.026714191052985,-7.326786428972486,-11.141511854605215,-7.288473599651546,-11.96080485096781,-3.8654073308049313,-11.888598290835525,-10.562932046468616,-18.41955167178847,-7.089306022300161,-13.501876357451348,-8.861831748321956,-16.368621568920478,-8.7942420814611,-16.239662096464652,-7.922178029643263,-14.456158721777301,-9.01309580468974,-16.825785702073066,-6.180471729075807,-13.201806664645968,-8.085235194862175,-15.435325811506676,-8.86132884578407,-15.484175847190315,-10.465970255599794,-16.08659937255069
41,-3.2338144436953122,-10.927094127135446,-3.737785449300955,-11.008944603697223,-4.952885345000521,-11.06811425824626,-3.4778562755690623,-10.942801001481829,-3.6133558451907084,-9.544802918406592,-3.3645273731593943,-9.746979250924712,-3.682151267077545,-9.59357687425025,-2.8928301973493094,-9.111528324815108,-3.1683738243761708,-9.298073144328429,-2.791209435485737,-10.143208731875927,-3.5652617636919697,-9.821069813943918,-3.9924973424181793,-11.40293189395562,-2.3203058842492776,-9.834611311078081,-3.821825767036727,-10.406428016378928,-2.8628078289562713,-11.443387157892463,-4.237454438875522,-10.98789400397147,-8.098885520665192,-14.359427281410987,-3.7466802164264292,-14.526786087435744
42,-4.8076730220506985,-12.380155776880926,-7.816192906278464,-14.231525844558169,-7.775889894573572,-14.252176794342299,-9.28225372518428,-15.406874516701068,-7.799634326703425,-14.245401770742106,-6.943200552389673,-13.68051110269256,-6.418843292483714,-13.78673938334574,-5.276076889488037,-11.776012955623427,-3.9412075491371756,-10.829511430107166,-3.9735797428282886,-11.309487706034334,-3.2188484675761946,-10.998568417347416,-4.058512866883644,-10.969906811767506,-2.9188839157373425,-9.37411742784151,-4.1888039975146665,-10.568675564347043,-3.485357115827419,-9.293071353703958,-2.8224399999419165,-10.598044393382688,-1.6726500100358463,-10.84889827782808,-2.142287900080872,-10.806957147541123
43,-5.631338785339873,-12.125008474441778,-9.104004858368889,-14.684799007154485,-7.390947061481434,-13.513245925920522,-8.333914979300793,-14.271579468070145,-8.609636451975218,-15.343306698315079,-8.980740962425998,-13.236373173006319,-5.387803073956717,-13.324799959379716,-6.324843017320756,-13.096241865141014,-5.424435578664484,-14.053260975977643,-7.386879747626897,-14.930724163313512,-7.555925703476854,-14.445520107619922,-8.216981751175238,-14.302015264024659,-5.854178715783673,-12.11170306582855,-7.548129432073503,-13.151070765094486,-5.088801534467665,-11.88987007950744,-6.559379841594,-13.571225295479776,-6.764249947432531,-14.990693677923758,-3.958780719887564,-14.586430319127954
44,-8.310999275469943,-16.44725078568725,-10.75751807180767,-16.7471450098001,-8.194122192364894,-17.31877037190124,-8.832316319768537,-16.444416604039223,-11.201145177918082,-18.06842538660925,-9.563549554998787,-16.00580503722009,-7.640919556261555,-15.23243428333122,-4.618913427464582,-15.642999048585736,-6.778159898905617,-16.69556516895699,-8.570732766515611,-15.247081431143538,-9.02524966322544,-15.526997212872951,-9.203289323207276,-17.308852682458408,-6.335997946310411,-13.374631512815203,-7.175580165702912,-14.41497712889084,-6.701193449007335,-13.168221579395938,-7.771795048298308,-15.584964392735245,-5.362878373242318,-13.348194375890577,-4.947781026633865,-12.150003980325476
45,-8.905711124878051,-15.234199470109642,-9.781858639759468,-15.492889168468968,-9.74153435431641,-16.63109201072025,-10.460950208388649,-17.530304319181067,-11.307672689683848,-17.035769477027184,-10.532511708878637,-15.700181068756331,-8.330023516788275,-14.365868922345978,-7.136513002440035,-13.902044589883765,-8.812044650441354,-16.684048415248323,-9.363274852527052,-13.628148203296943,-8.079295745240703,-15.182571711753871,-8.899703321701063,-14.920846269705262,-5.8906226508035076,-13.65129931560146,-6.685142174385689,-14.24675825301044,-5.742207231471661,-12.405683929960123,-7.7068006448921285,-15.609970679600245,-5.744099438703492,-11.26666415612573,-5.837515668825687,-13.040455689107137
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
