farm_id,crop_type,area_ha,npix_full,npix_core,ring_frac,no_interior,buffer_level,health_index,health_core_only,health_matched_random,level_ring_minus_core_db,cv_full,cv_core,on_attention_list,stays_core_only
14,Cotton,0.2896841758437599,67,30,0.5522388059701493,False,0,53.92,75.25,82.07,0.045,0.9224359838649951,0.5206918132813826,False,False
15,Cotton,2.257871362413479e-07,40,0,1.0,True,2,34.13,32.37,32.25,0.0,0.5339595373978335,0.5339595373978335,False,False
16,Groundnut,1.198032268621871e-07,26,0,1.0,True,2,30.97,28.85,31.6,0.0,0.5691809860947544,0.5691809860947544,False,False
17,Cotton,8.170756718469804e-09,5,0,1.0,True,2,63.94,59.17,58.53,0.0,0.3808250909149386,0.3808250909149386,False,False
18,Cotton,5.084064626714735e-09,6,0,1.0,True,2,16.72,16.81,17.51,0.0,0.6965421008232733,0.6965421008232733,True,True
19,Bajra,4.845720711671931e-09,10,0,1.0,True,2,56.23,52.17,52.41,0.0,0.3444108064587324,0.3444108064587324,False,False
20,Rice,0.3876135438595965,79,35,0.5569620253164558,False,0,63.65,77.61,77.91,1.418,0.5640583027341034,0.37223753111194796,False,False
21,Rice,0.5725174781550666,162,106,0.345679012345679,False,0,73.76,71.68,70.02,0.037,0.4195176094307307,0.4175009396948636,False,False
22,Cotton,0.3980899814218664,108,66,0.38888888888888884,False,0,14.09,26.17,15.69,-1.406,0.7084353684540867,0.6078637068886421,True,False
23,Bajra,1.1280382993849755e-09,5,0,1.0,True,2,4.1,4.16,4.0,0.0,0.445231863500837,0.445231863500837,True,True
24,Rice,0.256617417728398,58,28,0.5172413793103448,False,0,39.93,46.65,59.68,-0.088,0.6275887428856377,0.5300849858158923,False,False
25,Cotton,0.1020199392891068,16,3,0.8125,False,0,56.66,60.88,50.31,1.425,0.4717335966939671,0.3282241630166803,False,False
26,Rice,0.4838093252761882,133,82,0.3834586466165414,False,0,79.63,77.62,78.64,-0.393,0.4105858892976903,0.40937218168872314,False,False
27,Rice,0.5415105264041837,154,104,0.3246753246753247,False,0,67.37,60.32,65.62,0.432,0.4977653719608239,0.4949658990444997,False,False
28,Cotton,0.259927890220491,61,31,0.4918032786885246,False,0,48.54,42.85,44.65,-0.264,0.4048283424341484,0.415908112450207,False,False
29,Rice,0.5681262967499147,162,110,0.32098765432098764,False,0,64.18,60.23,62.68,-0.218,0.4582252550465446,0.4604485727894229,False,False
30,Cotton,0.3338709047267693,82,40,0.5121951219512195,False,0,81.96,72.25,69.6,0.611,0.5674592068028016,0.603235086949088,False,False
31,Maize,0.5907185134228785,172,109,0.36627906976744184,False,0,69.01,69.84,68.35,-0.698,0.4357230378963231,0.43956839017903826,False,False
32,Rice,0.1085043476881907,21,7,0.6666666666666667,False,0,47.1,42.86,37.47,3.199,0.5800999343808937,0.33081232156958,False,False
33,Cotton,0.6522243259691243,194,138,0.28865979381443296,False,0,49.36,48.89,48.02,-0.7,0.6631998324103626,0.6465749223626902,False,False
34,Rice,0.4679714340427883,135,83,0.3851851851851852,False,0,81.78,80.34,84.39,0.215,0.4723640508677978,0.46825133797324503,False,False
35,Rice,0.992270754998336,313,243,0.22364217252396168,False,0,66.23,69.35,66.24,0.408,0.5290775954759834,0.4792249090350351,False,False
36,Maize,0.902129946251072,289,225,0.22145328719723179,False,0,33.74,29.72,30.41,-0.029,0.5328222612024137,0.5188777961433388,False,False
37,Rice,0.5266487272851875,151,100,0.3377483443708609,False,0,68.91,71.73,68.18,-0.295,0.4966092771951517,0.4715916179654403,False,False
38,Rice,0.492507854010358,137,86,0.3722627737226277,False,0,61.14,65.96,59.28,-0.079,0.5127268068238888,0.46130461784282445,False,False
39,Cotton,0.6675339882764417,188,118,0.37234042553191493,False,0,23.15,25.64,28.9,-0.264,0.6370263780289878,0.6148346463144247,True,True
40,Cotton,0.5319990846374182,158,113,0.28481012658227844,False,0,50.1,44.61,45.52,0.237,0.4118223336517738,0.4226453640239647,False,False
41,Cotton,0.944772147474751,302,236,0.2185430463576159,False,0,81.32,81.28,78.18,-0.185,0.5340779777495364,0.4794780794004428,False,False
42,Cotton,1.3556459123480105,438,349,0.20319634703196343,False,0,90.4,88.5,90.07,-1.23,0.5383699320529282,0.5073333783981899,False,False
43,Cotton,0.6459871347636221,194,140,0.27835051546391754,False,0,40.25,39.26,36.97,0.918,0.4732478073880348,0.4513304404138095,False,False
44,Cotton,0.3342891034507806,92,57,0.3804347826086957,False,0,50.42,49.3,46.62,0.405,0.520119269254828,0.471769338845696,False,False
45,Cotton,0.4164261151889281,116,76,0.3448275862068966,False,0,53.14,48.76,55.9,0.6,0.4746964481216948,0.4421757909469905,False,False
46,Cotton,2.8816279759477605e-12,9,0,1.0,True,2,53.16,48.76,49.72,0.0,0.5164609684189809,0.5164609684189809,False,False
47,Cotton,0.9941431838624308,326,259,0.20552147239263807,False,0,62.64,56.16,58.23,0.9,0.5125645080041079,0.4990405285865137,False,False
48,Cotton,0.5443159741193601,161,115,0.2857142857142857,False,0,33.73,37.56,36.66,0.327,0.616315552677808,0.5436177618288168,False,False
49,Rice,1.4403908240645713,464,364,0.2155172413793104,False,0,68.41,70.72,68.02,0.242,0.4970657564129708,0.4552416518068196,False,False
50,Cotton,1.308755997789612e-07,25,0,1.0,True,2,78.33,72.07,74.37,0.0,0.5416020760546373,0.5416020760546373,False,False
51,Cotton,0.021906183441864,2,0,1.0,True,1,67.03,68.15,63.62,0.0,0.0154150388046944,0.0154150388046944,False,False
52,Cotton,7.831776115873674e-09,16,0,1.0,True,2,36.57,33.64,36.23,0.0,0.7069082252955531,0.7069082252955531,False,False
53,Cotton,0.2259368620071783,47,15,0.6808510638297872,False,0,61.45,58.62,61.51,0.129,0.434233973558597,0.4018486480539051,False,False
54,Maize,0.1833500946954329,40,18,0.55,False,0,68.47,67.45,70.95,0.019,0.3969070901593637,0.3721374561400544,False,False
55,Maize,0.2351931151356756,52,24,0.5384615384615384,False,0,87.35,82.25,89.9,0.353,0.4609431991217586,0.47224458767865096,False,False
56,Rice,0.3370215314449604,100,64,0.36,False,0,57.85,67.39,65.95,-0.045,0.4901392110367096,0.41313518669633187,False,False
57,Maize,8.545364638340783e-16,1,0,1.0,True,2,48.49,47.55,47.45,0.0,,,False,False
58,Cotton,0.096016580764782,13,0,1.0,True,1,69.04,63.7,64.2,0.0,0.4545201643300068,0.4545201643300068,False,False
59,Cotton,0.8144783422308708,255,195,0.23529411764705888,False,0,50.36,43.05,50.28,0.115,0.5970007603533152,0.6145933058658475,False,False
60,Groundnut,0.2806386983997658,71,38,0.46478873239436624,False,0,55.98,56.91,59.14,0.322,0.4534128553900711,0.399818141820091,False,False
61,Cotton,0.3749607207946541,103,67,0.3495145631067961,False,0,26.93,26.05,24.09,-0.666,0.5954707640340362,0.6067059992423224,False,False
62,Cotton,0.4876136060365847,136,86,0.36764705882352944,False,0,32.72,29.47,32.25,-0.646,0.7591794867894093,0.8375051703270545,False,False
63,Rice,0.7577981760913929,230,168,0.26956521739130435,False,0,66.0,66.16,63.34,0.049,0.4569396483498121,0.4339416161050192,False,False
64,Cotton,0.9613098902533448,305,237,0.22295081967213115,False,0,31.75,34.91,30.46,-0.274,0.6202669868705947,0.5761106432780774,False,False
65,Rice,1.1754314082487507,246,188,0.2357723577235772,False,0,65.67,58.75,65.98,-0.349,0.4576219431284581,0.47771719846565763,False,False
66,Rice,0.4845022201146881,136,87,0.3602941176470589,False,0,62.46,67.55,59.39,-0.155,0.4118966005252711,0.3630546116598508,False,False
67,Cotton,0.9000453815698743,287,224,0.2195121951219512,False,0,77.35,71.13,75.09,-0.463,0.5098728563479974,0.5086332747016078,False,False
68,Cotton,0.5116644737487964,150,105,0.30000000000000004,False,0,33.79,35.67,31.14,-0.585,0.5260357489217286,0.5120085409370633,False,False
69,Cotton,1.0442634460811326,309,215,0.3042071197411004,False,0,83.58,84.34,83.81,-1.19,0.6367924029165948,0.5870735454164,False,False
70,Cotton,1.121296032217443,361,285,0.21052631578947367,False,0,46.93,44.89,47.52,-0.252,0.8102801071741242,0.8040861949606982,False,False
71,Groundnut,0.5035004939765695,147,106,0.2789115646258503,False,0,77.94,73.29,73.36,-0.202,0.4397770132798212,0.4387085100973328,False,False
72,Maize,0.3691253187355509,90,50,0.4444444444444444,False,0,50.77,36.08,48.08,0.527,0.4168373015831786,0.461147191996231,False,False
73,Maize,0.3509148390410827,85,50,0.4117647058823529,False,0,23.49,38.7,15.83,1.881,0.7202775529850853,0.4698029256706741,True,False
74,Cotton,0.9351467283416492,295,228,0.22711864406779658,False,0,76.68,77.76,72.94,-1.502,0.5880674622492483,0.5202138821043168,False,False
75,Cotton,1.1755913536809968,389,316,0.1876606683804627,False,0,24.69,27.46,21.92,0.947,0.5923918669327306,0.5360749785413662,True,False
76,Cotton,1.311939657480852,434,353,0.18663594470046085,False,0,24.92,25.67,24.59,-0.339,0.6300215372542458,0.6168818648395092,True,True
77,Cotton,0.9373809699681762,310,245,0.20967741935483875,False,0,18.8,16.86,24.53,0.3,0.6472138209128484,0.6722884375382843,True,True
78,Rice,0.4008839929677567,108,67,0.37962962962962965,False,0,57.95,68.53,44.51,0.19,0.5506934362324711,0.4594411636860415,False,False
79,Rice,0.5705266848847619,169,115,0.3195266272189349,False,0,51.8,51.39,61.35,-0.2,0.5251946248631096,0.5016707939358666,False,False
80,Rice,1.3581766549317962,446,357,0.19955156950672648,False,0,48.29,44.84,47.39,0.371,0.478744834812189,0.46690331880982017,False,False
81,Maize,1.496181459322255,492,404,0.17886178861788615,False,0,67.66,63.2,64.11,-0.145,0.4565118100990933,0.4681694863329938,False,False
82,Maize,1.064641333179936,347,276,0.20461095100864557,False,0,36.76,30.8,34.09,0.252,0.45692232818362,0.4559909359865996,False,False
83,Cotton,0.490880855487086,134,87,0.35074626865671643,False,0,18.66,23.54,15.8,0.408,0.6510643924377434,0.5753299594985121,True,True
84,Cotton,0.16524761421084,37,14,0.6216216216216216,False,0,59.27,62.71,55.85,0.144,0.4554949692823682,0.4400566898732403,False,False
85,Cotton,1.280637977935705,410,319,0.2219512195121951,False,0,84.85,79.15,81.62,-0.331,0.4887243404349878,0.4933028803289032,False,False
86,Cotton,2.734616647205324,944,810,0.14194915254237284,False,0,85.62,82.9,84.22,-0.969,0.5277589203649794,0.5069198770253509,False,False
87,Cotton,0.777248708882525,235,173,0.2638297872340426,False,0,51.26,50.4,47.4,1.493,0.5637017560400313,0.4966121485022345,False,False
88,Rice,0.260868006603177,68,39,0.42647058823529416,False,0,55.66,45.17,63.32,0.307,0.4747726869234718,0.5031666776109899,False,False
89,Rice,0.7261771928709487,226,170,0.24778761061946908,False,0,49.21,42.03,50.1,0.102,0.5558090849481612,0.5657329609111357,False,False
90,Cotton,0.3848799608978606,101,57,0.4356435643564357,False,0,45.55,41.47,44.06,0.305,0.5045960466952686,0.49509617386214766,False,False
91,Cotton,0.2342812214481492,50,15,0.7,False,0,44.51,33.79,54.46,-0.052,0.5341850310697123,0.6305198825066296,False,False
92,Cotton,0.2264409709599675,54,23,0.5740740740740741,False,0,41.78,54.93,54.31,0.403,0.5331043054356336,0.3291056620738017,False,False
93,Cotton,0.1393293747212762,28,10,0.6428571428571428,False,0,44.29,48.84,34.14,-0.638,0.4755978586061041,0.4622694366752976,False,False
94,Cotton,0.2785054924750704,68,34,0.5,False,0,46.97,39.48,50.98,-0.305,0.4808068117884297,0.5227052121352345,False,False
95,Cotton,0.2840433751677662,69,30,0.5652173913043479,False,0,71.32,66.58,49.67,-0.054,0.5227084302537526,0.5135651273001072,False,False
96,Cotton,1.1554552082194167,381,309,0.1889763779527559,False,0,63.2,58.44,58.7,0.261,0.4291156354448913,0.4251719001807214,False,False
97,Cotton,0.5991694971966668,178,127,0.2865168539325843,False,0,37.92,41.23,38.67,1.358,0.6159805668628866,0.5279022507209358,False,False
98,Cotton,0.2332142299587677,57,31,0.45614035087719296,False,0,71.95,75.36,64.84,-1.351,0.512333118972067,0.4985931263829289,False,False
99,Cotton,0.0758460241113632,12,2,0.8333333333333334,False,0,68.28,96.07,96.9,-3.893,0.5985327645352775,0.33767764995017935,False,False
100,Maize,1.038304978411163,329,251,0.2370820668693009,False,0,59.05,53.78,55.91,0.041,0.4777502264284766,0.481403476886566,False,False
101,Cotton,0.863408252802758,270,207,0.23333333333333328,False,0,53.56,51.7,55.29,-0.295,0.5652717259895231,0.5622179296589522,False,False
102,Cotton,0.8774275405357334,274,204,0.25547445255474455,False,0,50.46,52.89,43.92,0.873,0.5340025114442777,0.45228664309802846,False,False
103,Cotton,0.8204243197416506,253,184,0.2727272727272727,False,0,97.67,96.3,96.79,-0.633,0.4435946511248932,0.43218318077212775,False,False
104,Groundnut,1.2056742022049345,401,323,0.19451371571072318,False,0,67.24,62.57,63.1,0.718,0.4750359629480942,0.4581973034599472,False,False
105,Cotton,0.8695715446656979,274,213,0.22262773722627738,False,0,92.78,90.23,90.85,-0.179,0.4812687311796925,0.45163323067782296,False,False
106,Cotton,1.232768008182174,410,337,0.17804878048780493,False,0,87.04,84.2,85.25,-0.611,0.4920900557066039,0.47092194369009255,False,False
107,Cotton,0.345415721487276,92,55,0.40217391304347827,False,0,26.76,32.82,21.54,0.665,0.7096647348607775,0.6267811031639637,False,False
108,Cotton,1.440513439912615,492,413,0.16056910569105687,False,0,85.58,82.41,82.08,-1.371,0.4802275772227517,0.46487625202384925,False,False
109,Cotton,0.3839817922403229,105,66,0.37142857142857144,False,0,18.68,13.2,26.97,0.466,0.6555984464763475,0.723750401362974,True,True
110,Cotton,0.902733476203221,283,213,0.24734982332155475,False,0,81.36,78.18,76.34,0.133,0.5276308095124717,0.507313924273317,False,False
111,Groundnut,1.7360962439700336,592,501,0.15371621621621623,False,0,49.19,53.54,45.57,0.774,0.520577327146738,0.46235408255633287,False,False
112,Maize,0.4228356993263947,120,79,0.3416666666666667,False,0,61.59,56.19,53.38,0.38,0.4167703330131746,0.41262987779340843,False,False
113,Rice,0.4519441090941869,122,78,0.360655737704918,False,0,45.04,36.49,43.24,0.713,0.4459740402616379,0.45511747193693863,False,False
114,Groundnut,2.7160552186196507,925,778,0.15891891891891896,False,0,14.56,10.35,21.22,-0.033,0.7266617107642601,0.7670463609998431,True,True
115,Cotton,1.1777386518729067,372,291,0.217741935483871,False,0,42.21,40.26,37.07,-0.454,0.4447341893432007,0.44879508145404445,False,False
116,Groundnut,1.4371211218304338,468,376,0.19658119658119655,False,0,50.43,50.9,49.32,0.665,0.4917998986426614,0.45832615541953436,False,False
117,Cotton,0.5394947723443138,164,118,0.2804878048780488,False,0,74.18,68.15,73.22,-0.451,0.562580203859985,0.5721058930155439,False,False
118,Rice,0.973816937519818,310,244,0.2129032258064516,False,0,57.62,65.03,54.51,1.148,0.514530981898765,0.4241878263345457,False,False
119,Cotton,0.5508221864634812,150,84,0.43999999999999995,False,0,78.38,66.67,82.14,0.457,0.6205763249626545,0.6784812030330933,False,False
120,Cotton,1.090826826352455,351,276,0.2136752136752137,False,0,75.67,72.97,74.19,-0.169,0.5332149703493697,0.5133954343212119,False,False
121,Cotton,1.3062825103304567,416,319,0.23317307692307687,False,0,76.25,80.34,72.22,-0.259,0.5969921422218148,0.48327751541315156,False,False
122,Groundnut,0.8742570352409497,267,193,0.27715355805243447,False,0,66.78,67.22,65.88,0.412,0.4890770976740655,0.4601938993532517,False,False
123,Cotton,0.6430006209264557,196,144,0.26530612244897955,False,0,43.38,38.39,42.41,0.28,0.4724616283338618,0.4747320594514439,False,False
124,Groundnut,0.7598516798762366,240,184,0.23333333333333328,False,0,20.97,24.86,23.06,1.088,0.7405768883943334,0.683623164850328,True,True
125,Groundnut,1.0225539443500316,333,264,0.2072072072072072,False,0,55.44,47.82,56.86,0.666,0.479161225956603,0.48452710205129085,False,False
126,Groundnut,0.7150948808813716,217,158,0.27188940092165903,False,0,28.14,27.57,27.4,0.085,0.5154226843592766,0.5206640646488266,False,False
127,Groundnut,0.5040409155123979,136,82,0.3970588235294118,False,0,61.38,54.77,58.09,0.581,0.4337496246008399,0.4354401810280237,False,False
128,Groundnut,0.2558524131024084,61,33,0.4590163934426229,False,0,85.07,63.3,79.64,0.954,0.4396636115528419,0.48842974227976726,False,False
129,Groundnut,0.2873982682578124,67,30,0.5522388059701493,False,0,69.59,75.0,57.64,-0.248,0.3924734878536172,0.3488396322561787,False,False
130,Cotton,1.129894981372383,375,311,0.17066666666666663,False,0,45.03,45.41,43.72,-0.123,0.4705095153665327,0.4437951482409231,False,False
131,Groundnut,0.3506813898908201,95,62,0.34736842105263155,False,0,68.54,64.47,60.66,-0.038,0.4485246849456573,0.4459549810335123,False,False
132,Bajra,0.2254981623826314,56,27,0.5178571428571428,False,0,55.98,61.77,66.77,-0.07,0.4089180202544158,0.3566141795081692,False,False
133,Groundnut,0.2754255023970374,68,37,0.4558823529411765,False,0,71.16,69.98,64.45,-0.509,0.400102940982049,0.37612272630917815,False,False
134,Groundnut,0.5424562315593663,162,118,0.2716049382716049,False,0,38.88,34.34,34.34,0.887,0.53162577719793,0.5265724312642721,False,False
135,Cotton,2.340303052373448,803,686,0.14570361145703614,False,0,15.84,42.24,15.89,2.389,3.0572234111271763,0.46334482401185517,True,False
136,Cotton,0.6784272025058703,173,111,0.35838150289017345,False,0,60.99,62.9,55.16,1.057,0.5239606972585967,0.4110226729711317,False,False
137,Cotton,1.780815864649631,601,502,0.16472545757071544,False,0,92.1,89.08,89.06,-0.616,0.4720927823946761,0.4525100807937694,False,False
138,Cotton,0.8420534802994826,273,212,0.22344322344322343,False,0,95.16,92.06,94.04,0.398,0.4515086442085259,0.45158258136879614,False,False
139,Groundnut,0.9984049705209734,327,262,0.19877675840978593,False,0,49.88,44.6,48.26,0.146,0.474081101051364,0.47378743232697357,False,False
140,Cotton,0.2669220443432319,65,33,0.49230769230769234,False,0,30.53,32.83,26.97,-0.153,0.4181517204815331,0.40587758757114084,False,False
141,Maize,0.4840316854581701,134,90,0.32835820895522383,False,0,57.86,54.43,56.86,-0.134,0.431458856945184,0.4375068535077617,False,False
142,Groundnut,1.945272622124535,652,536,0.17791411042944782,False,0,73.9,66.55,69.75,0.125,0.505507541438549,0.5169769585151338,False,False
143,Cotton,0.6452601611646481,199,148,0.2562814070351759,False,0,44.33,40.91,40.96,0.124,0.4815138511946438,0.4805545941410011,False,False
144,Groundnut,2.464586531116192,859,737,0.14202561117578583,False,0,76.78,74.73,74.35,0.166,0.4874908596566479,0.4611809727678618,False,False
145,Groundnut,1.280297201865029,415,336,0.19036144578313252,False,0,76.2,73.65,72.63,1.003,0.4682599767337816,0.43149806996626733,False,False
146,Cotton,0.6950063945810191,210,147,0.30000000000000004,False,0,29.91,26.64,32.95,0.236,0.5294364917068096,0.5351295682730213,False,False
147,Cotton,0.6208175701277161,183,125,0.31693989071038253,False,0,77.97,74.07,71.67,-0.195,0.4720470674754672,0.4559049072078958,False,False
148,Cotton,0.2687311528820438,71,42,0.4084507042253521,False,0,37.32,31.53,37.71,0.049,0.4366720729202449,0.47875463385885664,False,False
149,Maize,1.1391172504945166,371,299,0.19407008086253374,False,0,38.6,34.19,34.09,-0.358,0.4658240514531356,0.4590007906918427,False,False
150,Cotton,0.7710070888383248,240,178,0.2583333333333333,False,0,30.87,33.9,34.54,0.443,0.5969475901814313,0.5480811748551873,False,False
151,Cotton,0.4696501216122695,139,96,0.3093525179856115,False,0,79.81,76.23,72.78,0.248,0.3703016721233584,0.3262285252320467,False,False
152,Groundnut,0.3038206362764897,85,51,0.4,False,0,56.4,52.52,52.99,-0.173,0.4936754101926419,0.500992764176501,False,False
153,Cotton,0.2807673441173454,71,40,0.43661971830985913,False,0,52.02,49.81,50.39,0.602,0.4637915263689569,0.4644999450800127,False,False
154,Cotton,0.723847460353637,213,151,0.29107981220657275,False,0,94.26,91.87,92.92,-0.845,0.4643172784271194,0.45223111287308126,False,False
155,Bajra,0.4358413456392997,129,85,0.3410852713178295,False,0,43.26,46.56,46.19,0.508,0.4775319883582745,0.42267643317975706,False,False
156,Groundnut,0.8466172172870067,268,206,0.23134328358208955,False,0,72.02,67.65,68.06,0.164,0.4152828990097689,0.40439892622888424,False,False
157,Groundnut,0.4224371561524075,120,75,0.375,False,0,54.8,50.65,56.42,0.713,0.4880682645579577,0.46947639431721433,False,False
158,Maize,0.4537630693477505,125,77,0.384,False,0,33.23,28.68,35.53,0.235,0.5956985052469224,0.5587063146308268,False,False
159,Cotton,0.6722226892039258,211,152,0.2796208530805687,False,0,41.27,39.24,38.24,0.459,0.5843518243404265,0.5619729595857309,False,False
160,Cotton,0.702019525588388,209,154,0.26315789473684215,False,0,9.78,11.38,10.68,-1.252,0.7722004744421019,0.7976665011701932,True,True
161,Cotton,0.5002484352402639,139,93,0.3309352517985612,False,0,27.45,31.75,27.56,-0.198,0.5325686498104049,0.4770175306107747,False,False
162,Cotton,0.3072359700729527,71,30,0.5774647887323944,False,0,49.07,52.74,44.18,0.037,0.491729193867689,0.44757046101629006,False,False
163,Cotton,0.980347962241822,297,212,0.2861952861952862,False,0,86.85,84.27,82.83,-0.66,0.5132020590933964,0.4795582198311179,False,False
164,Cotton,0.906192737167293,290,226,0.2206896551724138,False,0,25.91,20.2,22.22,2.145,0.963221463055797,0.940767592424456,False,True
165,Groundnut,0.7514389364106688,238,180,0.24369747899159666,False,0,58.48,62.08,55.64,0.752,0.5309171811083824,0.4642898942871827,False,False
166,Groundnut,1.1973765742523796,403,330,0.18114143920595538,False,0,59.19,57.86,58.03,0.601,0.5012108296205534,0.46797828404523534,False,False
167,Groundnut,0.7704174140296096,244,186,0.23770491803278693,False,0,38.79,43.75,32.35,0.787,0.4996292242179177,0.4419706256779969,False,False
168,Groundnut,0.7724193757020149,234,167,0.2863247863247863,False,0,56.69,48.14,61.73,0.211,0.5262514883316285,0.5440323787592191,False,False
169,Maize,1.2283106611993748,402,322,0.1990049751243781,False,0,75.17,74.82,72.0,-0.814,0.5578876993321328,0.5563816628199145,False,False
170,Groundnut,0.5500544157715738,164,118,0.2804878048780488,False,0,31.94,31.51,30.66,0.424,0.5079337253916418,0.4908662438222673,False,False
171,Cotton,0.3239565531048635,76,36,0.5263157894736843,False,0,26.49,23.36,24.27,-0.635,0.5379965291569944,0.572046826295162,False,True
172,Groundnut,0.7412361949080405,221,164,0.25791855203619907,False,0,92.92,94.91,89.06,0.278,0.478444160623302,0.4479473342146896,False,False
173,Cotton,1.0505682467249404,341,272,0.20234604105571852,False,0,71.2,65.13,69.41,-1.139,0.6326330084518772,0.621128981309203,False,False
174,Cotton,0.9525668214601076,304,243,0.20065789473684215,False,0,38.39,38.46,45.48,-0.009,0.686312444706482,0.6729985983625899,False,False
175,Cotton,0.1686314783880216,38,17,0.5526315789473684,False,0,48.08,66.42,34.72,-1.333,0.3901494743380462,0.2968263576405805,False,False
176,Cotton,0.1731525057273974,38,18,0.5263157894736843,False,0,15.77,5.65,13.41,0.941,0.6380899831007663,0.8464713616340996,True,True
177,Cotton,0.417016906292713,114,72,0.368421052631579,False,0,29.89,24.02,25.7,0.05,0.5153406923408251,0.5455030968984746,False,True
178,Cotton,0.2664482686812132,68,38,0.4411764705882353,False,0,46.05,48.8,38.32,0.635,0.5489400074219172,0.49489478857610875,False,False
179,Cotton,0.2934827487748793,76,45,0.4078947368421053,False,0,19.8,23.01,22.59,-0.063,0.71204872803008,0.662724163139355,True,True
180,Bajra,0.5213027996045472,152,106,0.3026315789473685,False,0,40.78,39.96,40.02,0.661,0.4965744247491869,0.46262559431535566,False,False
181,Rice,0.3170852062888362,86,55,0.36046511627906974,False,0,40.16,34.56,49.58,1.547,0.4863151913766433,0.4281584837806598,False,False
182,Rice,0.4785180004657791,140,101,0.2785714285714286,False,0,29.18,24.51,26.17,-0.126,0.5255876086208481,0.5119789003480044,False,True
183,Rice,0.3600646109439386,98,61,0.37755102040816324,False,0,35.92,53.84,33.32,-0.266,0.5723441732296675,0.43593695790767634,False,False
184,Rice,0.8761300156238778,271,195,0.28044280442804426,False,0,49.31,47.76,46.34,0.641,0.4553790173861854,0.4121444691293546,False,False
185,Cotton,0.4617213093585915,119,65,0.45378151260504207,False,0,50.36,48.52,43.14,-0.551,0.4223942967556707,0.4273693961448798,False,False
186,Cotton,0.7721688846969385,230,168,0.26956521739130435,False,0,9.98,26.03,10.55,1.488,0.7811172543741343,0.5416207099660605,True,False
187,Cotton,0.2648420259177794,65,36,0.4461538461538461,False,0,51.93,50.72,49.57,-0.275,0.4387665550371852,0.44674380932848096,False,False
188,Cotton,0.7572062780518057,232,171,0.2629310344827587,False,0,32.37,34.74,34.0,0.157,0.6223120713271235,0.5843591073753799,False,False
189,Cotton,0.4966935727849175,143,92,0.35664335664335667,False,0,58.55,53.51,56.51,0.204,0.3759226111047912,0.38739579566584,False,False
190,Groundnut,0.6007625556064117,182,133,0.2692307692307693,False,0,60.28,54.37,54.85,0.047,0.4145657344840321,0.411420842051158,False,False
191,Cotton,0.181773638670406,41,18,0.5609756097560976,False,0,59.76,53.87,57.69,0.417,0.4145925837294674,0.377982832233487,False,False
192,Bajra,0.5115188564422274,147,101,0.3129251700680272,False,0,45.67,44.38,45.67,0.555,0.4332058915183095,0.3935753358882018,False,False
193,Groundnut,1.1708722939039171,363,265,0.26997245179063356,False,0,59.69,54.31,56.46,-0.169,0.4375100445858579,0.4486628279581679,False,False
194,Rice,0.5905895150811981,178,128,0.2808988764044944,False,0,54.04,47.09,49.27,-0.239,0.4703375370862571,0.4849085579063596,False,False
195,Groundnut,0.2704750222983429,70,38,0.4571428571428572,False,0,37.84,44.34,41.23,-0.731,0.4329937759327509,0.4121592489780089,False,False
196,Groundnut,0.2478605627610821,59,29,0.5084745762711864,False,0,67.38,69.55,58.57,-0.308,0.4458704700086539,0.41822016212824586,False,False
