farm_id,crop_type,yield_forecast_t_ha,ens_sd_t_ha,health_sd_pts,label_confidence,label_entropy,flag_qc,flag_non_crop
31,Maize,2.6124,0.0685,3.742182876947704,0.4897,0.7278419449386473,ok,
32,Rice,1.6763,0.0766,8.957995845031016,0.4929,0.8243014197163936,ok,
33,Cotton,0.7084,0.0291,3.6497917102210247,0.4846,0.8267115341387361,ok,
34,Rice,2.1319,0.0417,3.8107379033336697,0.4884,0.8391708478851887,ok,
35,Rice,1.9275,0.0835,2.932048342174183,0.2603,0.9764951832411614,ok,
36,Maize,1.9961,0.0293,2.902009042581967,0.3608,0.9556214731360406,ok,
37,Rice,1.9628,0.0187,3.8218750351339,0.3609,0.9422590201472344,ok,
38,Rice,1.8608,0.0129,4.0723512691124,0.4674,0.8650435964041745,ok,
39,Cotton,0.5654,0.0106,5.042559897731799,0.3588,0.8764932849567965,ok,
40,Cotton,0.7124,0.0128,3.643059979431777,0.2571,0.9806134380968258,ok,
41,Cotton,0.8827,0.0218,3.203241108719605,0.982,0.0638931535871362,ok,
42,Cotton,0.9322,0.0173,2.544171735983693,0.9662,0.1012344310337553,ok,dw_only
43,Cotton,0.6587,0.0072,4.034085489751211,0.3265,0.9634017366115376,ok,
44,Cotton,0.7142,0.0074,4.899411228067258,0.5548,0.7642236047209623,ok,
45,Cotton,0.729,0.0069,4.834480447738734,0.5647,0.7706325472224351,ok,
46,Cotton,0.7291,0.0154,,0.5626,0.701581199605686,ok,
47,Cotton,0.7808,0.0142,3.025902558368289,0.7169,0.5034069260952567,ok,
48,Cotton,0.6231,0.0223,4.000839160325683,0.502,0.78347151264409,ok,
49,Rice,1.9562,0.0677,2.344070169626898,0.4227,0.8608180889921525,ok,
50,Cotton,0.8664,0.0359,,0.7164,0.4126508505453742,ok,dw_only
51,Cotton,0.8047,0.0581,,0.582,0.7282482426512399,ok,
52,Cotton,0.6386,0.0291,,0.6857,0.5325335340739774,ok,
53,Cotton,0.7743,0.0106,7.880871074291587,0.4503,0.788829540883403,ok,
54,Maize,2.603,0.0625,7.474237579428319,0.384,0.8949711332992017,ok,
55,Maize,2.9329,0.0453,6.897067713121835,0.55,0.530858604579564,ok,
56,Rice,1.8176,0.0102,5.100325138948623,0.5088,0.8200486295132138,ok,
57,Maize,2.2539,0.048,,0.4147,0.88076705302795,ok,dw_only
58,Cotton,0.8157,0.0241,13.139396315142038,0.5927,0.6831452893341614,ok,
59,Cotton,0.7138,0.0218,3.5188438885733,0.743,0.5061870488741934,ok,dw_only
60,Groundnut,2.6632,0.0548,4.846002683851274,0.272,0.96883130388195,ok,
61,Cotton,0.586,0.0061,5.331904566062995,0.5692,0.7886637353311511,ok,
62,Cotton,0.6176,0.0366,4.734104255626642,0.5502,0.5743388892279016,ok,
63,Rice,1.9246,0.0167,3.264251701401321,0.3124,0.9678938206994144,ok,
64,Cotton,0.6123,0.0133,3.3276179852693404,0.5869,0.7217134053045621,ok,dw_only
65,Rice,1.9202,0.0279,2.9550297209085143,0.2902,0.978363445717398,ok,
66,Rice,1.878,0.0184,3.6871647326184,0.4869,0.8571875387136921,ok,
67,Cotton,0.861,0.0121,3.504317147611705,0.9402,0.1596045151072146,ok,
68,Cotton,0.6234,0.0105,4.491334797199721,0.2941,0.9767122496943602,ok,
69,Cotton,0.895,0.0732,2.9055587829474714,0.5956,0.4409027965121103,ok,
70,Cotton,0.6951,0.0685,2.912760566000649,0.7798,0.3471114412763874,ok,
71,Groundnut,3.0916,0.0847,4.126907721098521,0.2631,0.9910260756556076,ok,
72,Maize,2.2938,0.0858,4.745071712082541,0.356,0.9175163462351084,ok,
73,Maize,1.817,0.0849,5.317882506431328,0.351,0.903111526944461,ok,
74,Cotton,0.8574,0.0247,3.731615103453161,0.9849,0.0542649977747104,ok,dw_only
75,Cotton,0.5738,0.0109,2.959270942469238,0.2462,0.9879384872250896,ok,both
76,Cotton,0.575,0.0083,2.660026867298519,0.4023,0.9161041625465948,ok,
77,Cotton,0.5417,0.0086,3.1043539546062022,0.4316,0.8538767460400127,ok,
78,Rice,1.8188,0.0293,4.675143519034792,0.4985,0.8355270661511605,ok,
79,Rice,1.7381,0.0211,3.97532894051682,0.3936,0.8993162219867531,ok,
80,Rice,1.6919,0.0297,2.2157056669912705,0.3672,0.8381348835862089,ok,
81,Maize,2.5888,0.0537,2.245316841765512,0.523,0.6084269003767988,ok,
82,Maize,2.049,0.0664,2.7457091743655395,0.2801,0.9624308898951072,ok,
83,Cotton,0.5409,0.0071,3.964809688679079,0.3761,0.935248394256687,ok,
84,Cotton,0.7624,0.0076,9.08803543694739,0.7353,0.4707229540987919,ok,
85,Cotton,0.9019,0.0204,2.490841854407124,0.9663,0.1055965643277363,ok,dw_only
86,Cotton,0.9062,0.0199,1.7998568728855258,0.9727,0.0883770947964227,ok,dw_only
87,Cotton,0.7187,0.0196,3.3313930331962824,0.4366,0.8951516296598859,ok,dw_only
88,Rice,1.7887,0.038,5.232274729758668,0.37,0.8977134217362541,ok,
89,Rice,1.7041,0.0458,3.5335776407094337,0.3126,0.9679286618808812,ok,
90,Cotton,0.6876,0.0091,5.9384029159974805,0.5144,0.7781648431511033,ok,
91,Cotton,0.6819,0.0247,6.925612978488573,0.7283,0.5701144029644791,ok,
92,Cotton,0.667,0.0206,6.386270282946731,0.6413,0.6613686596492331,ok,
93,Cotton,0.6807,0.0375,14.00052458679827,0.4779,0.8009424970628469,ok,
94,Cotton,0.6953,0.0209,6.094396938827544,0.6154,0.7337089890524306,ok,
95,Cotton,0.8281,0.0272,6.178426601660188,0.6777,0.5511038289449008,ok,
96,Cotton,0.7839,0.0139,2.3338654949466187,0.3456,0.8874328809990398,ok,
97,Cotton,0.646,0.0182,3.619662248523956,0.2628,0.984498581945376,ok,
98,Cotton,0.8316,0.014,5.577849840112054,0.729,0.5419363779136173,ok,
99,Cotton,0.8116,0.0159,14.238270030238365,0.907,0.2523161329520859,ok,
100,Maize,2.4384,0.0173,2.489093307530028,0.4123,0.902115920516194,ok,
101,Cotton,0.7313,0.0091,3.2146676217945465,0.5775,0.692951699386581,ok,
102,Cotton,0.7144,0.0099,3.75655653114544,0.6195,0.7073139680353765,ok,
103,Cotton,0.9719,0.0089,3.01979020440978,0.963,0.1085994966431411,ok,
104,Groundnut,2.8829,0.0419,2.649742798936971,0.3445,0.947820124769734,ok,
105,Cotton,0.9452,0.0132,3.0237960468941845,0.9783,0.0756548586563387,ok,
106,Cotton,0.9139,0.0192,2.2396934150462298,0.9662,0.1053371515846855,ok,
107,Cotton,0.5851,0.0245,5.667193289634789,0.5353,0.7570684178270656,ok,dw_only
108,Cotton,0.9059,0.02,2.417559494888934,0.9778,0.0763667510240567,ok,dw_only
109,Cotton,0.541,0.0218,4.817679624997761,0.4351,0.8182398061599474,ok,
110,Cotton,0.8829,0.0214,3.685388534782667,0.9827,0.061449523182283,ok,dw_only
111,Groundnut,2.5306,0.0841,2.1511228850447752,0.4185,0.8758364071769529,ok,
112,Maize,2.4828,0.0319,4.0744237948361,0.5282,0.8016770067416169,ok,
113,Rice,1.6493,0.0901,5.426949848200425,0.3194,0.9195377447699968,ok,
114,Groundnut,1.855,0.0603,1.866510373103124,0.3952,0.9098774351701168,ok,
115,Cotton,0.6694,0.0213,2.3970713031109234,0.5346,0.7549680894417388,ok,
116,Groundnut,2.5548,0.0571,2.174238137954833,0.3109,0.949582109790442,ok,
117,Cotton,0.8438,0.0422,3.327917398769193,0.848,0.2932330076221314,ok,
118,Rice,1.8145,0.0344,2.8063005680422184,0.282,0.9801476404309934,ok,
119,Cotton,0.8667,0.0455,3.994752923616089,0.7665,0.3650824016466555,ok,
120,Cotton,0.8519,0.019,2.750421191122308,0.7155,0.4412576800488026,ok,
121,Cotton,0.855,0.02,2.66744487740402,0.97,0.0956005865299447,ok,
122,Groundnut,2.8738,0.0214,3.861636643678764,0.4245,0.8898977346950429,ok,
123,Cotton,0.6758,0.0351,3.392233471686456,0.4755,0.8097073798905952,ok,
124,Groundnut,1.9801,0.107,3.570631793336166,0.2856,0.9803514607274636,ok,
125,Groundnut,2.6527,0.0881,3.0442725295981568,0.2724,0.980561578234067,ok,
126,Groundnut,2.12,0.0544,3.1694929651040504,0.4184,0.8972007353262671,ok,
127,Groundnut,2.7686,0.0408,3.676437995531339,0.3283,0.9296491434226016,ok,dw_only
128,Groundnut,3.2309,0.0381,6.858656230856261,0.2756,0.977031546977058,ok,
129,Groundnut,2.9287,0.05,5.829148798483391,0.3607,0.900754455998082,ok,
130,Cotton,0.6847,0.0079,2.7978158097707246,0.3841,0.8827211782944075,ok,
131,Groundnut,2.9082,0.0913,4.3285601246183525,0.3729,0.8956879681498898,ok,
132,Bajra,2.0254,0.0685,6.262873322908007,0.3394,0.9345351421831098,ok,
133,Groundnut,2.9594,0.0376,6.104076768850492,0.2872,0.9507179960190606,ok,
134,Groundnut,2.3295,0.0193,3.5950823314946865,0.3145,0.9505600307162506,ok,
135,Cotton,0.5255,0.0157,7.569631137861411,0.4232,0.8375580154086562,ok,
136,Cotton,0.7718,0.0239,4.647370098639213,0.5531,0.6953910628160856,ok,
137,Cotton,0.9415,0.015,2.187192418736487,0.9418,0.1518547159257048,ok,
138,Cotton,0.9582,0.0114,2.908828617099528,0.963,0.1099656428321357,ok,dw_only
139,Groundnut,2.5442,0.048,3.8320704782846513,0.3744,0.9216747773356284,ok,
140,Cotton,0.6057,0.054,5.12051890409509,0.4816,0.7483113572105158,ok,
141,Maize,2.4177,0.1019,3.9043767240973937,0.3604,0.8937113515117044,ok,
142,Groundnut,3.0129,0.1093,2.090379274012274,0.3145,0.9194099806145302,ok,
143,Cotton,0.6809,0.0099,3.13002004851698,0.4052,0.8802111106325639,ok,
144,Groundnut,3.0691,0.0917,1.8382035634063445,0.4784,0.7148094080583778,ok,
145,Groundnut,3.0576,0.0826,2.499233140957847,0.3187,0.9575639003940668,ok,
146,Cotton,0.6023,0.0165,4.196346704548611,0.4908,0.8484002274663722,ok,
147,Cotton,0.8644,0.0118,4.272102033924739,0.8987,0.2232288875444566,ok,
148,Cotton,0.6427,0.0362,5.58678207554112,0.4475,0.8643051613918447,ok,
149,Maize,2.0811,0.0644,5.631517226976992,0.2854,0.9754818883140008,ok,
150,Cotton,0.6075,0.0113,3.473552151361321,0.3657,0.9396321478893708,ok,dw_only
151,Cotton,0.8745,0.0122,3.756003534107212,0.5702,0.6338262032432367,ok,
152,Groundnut,2.6714,0.0643,4.886173064695157,0.2709,0.9705603091285436,ok,
153,Cotton,0.7229,0.0246,6.503282895766807,0.3233,0.9428952367828006,ok,
154,Cotton,0.9533,0.0135,3.663230543726972,0.9683,0.0991024841445252,ok,dw_only
155,Bajra,1.8366,0.0315,4.392796043296581,0.2874,0.9418884555458455,ok,
156,Groundnut,2.9761,0.0615,2.95496427758433,0.3244,0.969617856023446,ok,
157,Groundnut,2.6402,0.0456,4.318676225181001,0.3654,0.8978891722338114,ok,
158,Maize,1.9873,0.052,3.823598583910744,0.3912,0.8356622061371114,ok,
159,Cotton,0.6642,0.0264,4.800995830102188,0.5417,0.6967027671259213,ok,
160,Cotton,0.4925,0.0071,4.188125820771636,0.6229,0.710034852660324,ok,both
161,Cotton,0.5888,0.008,4.408588446962765,0.2801,0.9735820066671385,ok,dw_only
162,Cotton,0.7068,0.0112,6.129832138846726,0.2853,0.980277927930414,ok,dw_only
163,Cotton,0.9129,0.0184,2.959393476184498,0.9829,0.061326925367162,ok,dw_only
164,Cotton,0.5804,0.0266,6.532916251879671,0.7254,0.5280288249458709,ok,dw_only
165,Groundnut,2.7119,0.0863,3.656693913377585,0.2956,0.948363827183732,ok,
166,Groundnut,2.7257,0.068,2.5377522730623587,0.323,0.9648361351192696,ok,
167,Groundnut,2.3278,0.0323,3.282782454182643,0.3281,0.9448962056595834,ok,
168,Groundnut,2.6771,0.0994,3.643743009842874,0.2576,0.9764269470074556,ok,
169,Maize,2.7201,0.141,2.6028138568180985,0.6138,0.4905878710129548,ok,
170,Groundnut,2.1941,0.0573,3.9095656534721015,0.3827,0.9177708320446274,ok,
171,Cotton,0.5836,0.023,6.224688541849908,0.5722,0.7612761276384444,ok,
172,Groundnut,3.3839,0.0666,11.031554554466254,0.4536,0.8010102853594987,ok,
173,Cotton,0.8275,0.0224,3.816766234070538,0.9793,0.0706018298212588,ok,dw_only
174,Cotton,0.6485,0.0375,5.030941363401793,0.71,0.4642967477549937,ok,
175,Cotton,0.7014,0.0282,7.518753745121824,0.4166,0.8673970626790839,ok,
176,Cotton,0.5251,0.0098,7.825361348096338,0.3199,0.9321625236607568,ok,both
177,Cotton,0.6022,0.012,5.065256438592637,0.3525,0.941510932204034,ok,
178,Cotton,0.6903,0.0076,11.373426225216814,0.6718,0.6179362880663333,ok,
179,Cotton,0.5471,0.0104,7.180990847350515,0.5088,0.8280407175548781,ok,both
180,Bajra,1.7998,0.0367,4.466790869085074,0.4119,0.904670641503522,ok,
181,Rice,1.5852,0.0439,7.281817244799431,0.297,0.9068415624787778,ok,
182,Rice,1.4409,0.0423,5.620437352621687,0.3647,0.8821423846458092,ok,
183,Rice,1.5294,0.015,4.715537510385505,0.3761,0.9177820276561676,ok,dw_only
184,Rice,1.7053,0.0851,3.1659041815998865,0.4157,0.8775721681396683,ok,dw_only
185,Cotton,0.7138,0.0129,4.7095777293806576,0.3955,0.9285036196639846,ok,dw_only
186,Cotton,0.4936,0.0071,6.007334197147936,0.4672,0.8561358610040499,ok,
187,Cotton,0.7224,0.0107,5.934093561959129,0.46,0.8133631841440528,ok,
188,Cotton,0.6157,0.0073,3.64281532544881,0.3677,0.908236451906888,ok,
189,Cotton,0.7585,0.0147,3.685058687531847,0.311,0.9416957138186968,ok,
190,Groundnut,2.7471,0.0173,3.841822604875808,0.2618,0.974488918292016,ok,dw_only
191,Cotton,0.7651,0.0227,6.968404043490917,0.3201,0.9162237664164418,ok,
192,Bajra,1.8725,0.0293,3.802045846904145,0.3157,0.9226268719109904,ok,
193,Groundnut,2.7356,0.0409,2.7287231132131344,0.2983,0.9699336590084164,ok,
194,Rice,1.7675,0.0187,3.593844004709795,0.3121,0.9745838944877808,ok,
195,Groundnut,2.3093,0.1818,5.005216204547507,0.3349,0.8838848327267711,ok,
196,Groundnut,2.8855,0.033,7.542287309567036,0.3779,0.905283009665708,ok,
197,Bajra,2.3251,0.0476,5.065429298730964,0.2672,0.9735726187817398,ok,dw_only
198,Groundnut,2.8045,0.0862,9.564856498417576,0.2921,0.9543357894645432,ok,dw_only
199,Cotton,0.7271,0.0077,1.841387365331877,0.6508,0.6394137920877337,ok,
200,Cotton,0.8153,0.0264,3.500889069831376,0.9838,0.0570131830104222,ok,
201,Groundnut,2.5813,0.0599,3.007220166261197,0.3146,0.9710060741945252,ok,
202,Rice,1.1784,0.0357,3.9132811848599154,0.4293,0.8987816127397363,ok,
203,Rice,1.4837,0.0216,4.597299834298518,0.4456,0.8603819331272293,ok,
204,Groundnut,3.0256,0.0215,2.770693525843757,0.3928,0.9000603414467725,ok,dw_only
205,Cotton,0.7957,0.0288,3.925319874859035,0.9818,0.0640613803035707,ok,dw_only
206,Cotton,0.7234,0.0062,3.546527168622677,0.6521,0.6010807342782247,ok,dw_only
207,Cotton,0.5508,0.0085,4.212854416159038,0.3866,0.885789166126687,ok,
208,Groundnut,2.648,0.0327,5.191868853760037,0.2494,0.9696173039759706,ok,
209,Cotton,0.8183,0.013,7.287018282307271,0.6558,0.6378628468607428,ok,
210,Cotton,0.4923,0.0079,6.358070329931505,0.5334,0.812621787993268,ok,
211,Cotton,0.8212,0.0226,7.401588639689432,0.3903,0.7938131064859688,ok,
212,Rice,1.8243,0.0223,4.095442089132582,0.3168,0.9638538903071124,ok,
213,Cotton,0.8564,0.0247,5.98089872937485,0.9806,0.0677650881117566,ok,
214,Groundnut,2.2035,0.0754,3.730587193268188,0.3323,0.9162180867819528,ok,
215,Groundnut,2.8961,0.0304,5.339620268489807,0.2902,0.9525118753790404,ok,
216,Cotton,0.8645,0.0181,2.085029444827842,0.9609,0.1175723963287416,ok,
217,Cotton,0.6028,0.0128,2.462706512345264,0.2968,0.9234608285211404,ok,
218,Cotton,0.8685,0.0182,4.401753269014006,0.9432,0.1451529930920708,ok,
219,Cotton,0.866,0.0173,4.610116358943088,0.9614,0.1146454759992802,ok,
220,Rice,2.0994,0.0226,3.6408733166563096,0.257,0.9850435082859522,ok,
221,Rice,1.8894,0.053,4.4810580891436125,0.2963,0.9259770535396802,ok,
222,Rice,1.4188,0.0158,6.25586692958999,0.399,0.891307729072016,ok,
223,Rice,1.8898,0.0298,2.9526335480967827,0.2993,0.902101261573408,ok,
224,Rice,1.7241,0.0678,4.677262031405828,0.2897,0.9836187403587336,ok,
225,Rice,1.3817,0.0678,4.567353826772307,0.2899,0.9788949848838888,ok,
226,Rice,1.706,0.0168,2.7746480041630543,0.4707,0.8293546854140255,ok,
227,Rice,1.7558,0.057,2.1199685872547027,0.4735,0.8157443733897146,ok,
228,Maize,1.9568,0.05,5.194808728034811,0.3154,0.9450003032643672,ok,
229,Groundnut,2.267,0.0338,3.2293068985220605,0.3603,0.9070903831310512,ok,
230,Cotton,0.8561,0.0179,2.6301834488791447,0.9592,0.1196563003557831,ok,
231,Groundnut,2.6896,0.1002,2.9981086538785857,0.2495,0.9868873849797624,ok,
232,Cotton,0.6171,0.0103,7.461672013620384,0.303,0.976809045646416,ok,
233,Rice,1.4782,0.0523,2.4593027765437108,0.5528,0.7943198592257761,ok,
234,Groundnut,2.5072,0.0584,3.598348078994271,0.3251,0.9262654958106108,ok,
235,Cotton,0.9096,0.0453,3.3503248776593777,0.5298,0.4766222313484473,ok,
236,Groundnut,2.3946,0.0875,2.738322288452057,0.431,0.8525392920184925,ok,
237,Cotton,0.5556,0.0094,4.331549091581195,0.2771,0.9608349705690964,ok,
238,Cotton,0.5932,0.0175,8.822643558885401,0.4701,0.8059855161539853,ok,
239,Groundnut,2.7311,0.0327,3.302714509494806,0.3508,0.9423130628521188,ok,
240,Cotton,0.6738,0.0124,4.358519188793446,0.6101,0.6410675436836449,ok,dw_only
241,Groundnut,2.3229,0.0491,2.490220964838976,0.3629,0.9474192031782188,ok,
242,Bajra,1.7387,0.0346,5.706171260788888,0.3149,0.950566696238883,ok,dw_only
243,Maize,1.8365,0.0511,5.707571752518935,0.34,0.958891382092701,ok,both
244,Cotton,0.597,0.0113,2.9851316999320288,0.3656,0.914710492770248,ok,
245,Rice,1.7305,0.0326,4.422685925133679,0.389,0.9160894280759228,ok,
246,Cotton,0.8324,0.0263,8.779066897634532,0.9819,0.0620457580853503,ok,
247,Cotton,0.5863,0.0052,5.717330807874956,0.5679,0.7838928920734765,ok,
248,Cotton,0.8851,0.0123,4.317911526171259,0.9587,0.1207613631870924,ok,
249,Groundnut,2.1196,0.0221,5.874160536525297,0.2702,0.9706681573370326,ok,
250,Cotton,0.7145,0.0221,4.135784234304436,0.568,0.7549505485241359,ok,
251,Groundnut,2.7087,0.0142,4.153034944434215,0.3851,0.922268080103732,ok,
252,Groundnut,2.5091,0.0207,2.643772001981333,0.3797,0.8897465880939222,ok,
253,Cotton,0.9058,0.0211,3.4276592256897804,0.9743,0.082610301226076,ok,
254,Groundnut,2.1085,0.0727,1.8276612700269776,0.4847,0.8262551290194371,ok,
255,Bajra,2.0467,0.0652,8.209809837455218,0.2722,0.9717834406784772,ok,
256,Cotton,0.626,0.0093,7.84549708619271,0.2818,0.963262344382206,ok,
257,Cotton,0.583,0.0055,5.2055156753407,0.4457,0.8925662812360623,ok,dw_only
258,Groundnut,2.1614,0.0621,4.86706059798006,0.3177,0.9551185948508064,ok,
259,Rice,1.5369,0.0126,3.634435559068848,0.3365,0.9317516967225415,ok,
260,Groundnut,2.2888,0.0227,2.0847068980608143,0.4302,0.8747488054504715,ok,
261,Groundnut,3.3258,0.013,2.960312554601582,0.3903,0.8705898074046838,ok,
262,Groundnut,2.5275,0.019,2.617440672158662,0.3813,0.941108311639616,ok,
263,Maize,2.3923,0.0257,3.5198501928834447,0.6011,0.6821435471349528,ok,
264,Cotton,0.5632,0.0125,3.8689719655268697,0.3214,0.9364947026545948,ok,
265,Cotton,0.6356,0.0106,7.049121771859763,0.4993,0.8581161767818871,ok,
266,Groundnut,2.5615,0.0865,4.288140066002533,0.2556,0.9917297590231096,ok,dw_only
267,Cotton,0.8237,0.0451,1.955722693847069,0.9037,0.247160047604434,ok,dw_only
268,Cotton,0.8534,0.012,4.42177671149172,0.9443,0.1478873461973562,ok,
269,Cotton,0.6063,0.0068,3.4613258290070497,0.3032,0.9553693754987784,ok,
270,Maize,1.9902,0.0252,2.6851140603203145,0.298,0.9613096466969144,ok,
271,Groundnut,2.4728,0.0641,4.080639641976427,0.4155,0.8684262821214322,ok,
272,Groundnut,2.2886,0.0464,3.140764671909292,0.2982,0.9218273766804456,ok,
273,Rice,1.8074,0.0334,2.562488971608053,0.3017,0.9650635193695274,ok,
274,Maize,2.3639,0.0321,2.489214362963095,0.5566,0.7058868913550581,ok,
275,Cotton,0.6729,0.012,5.276503793114539,0.449,0.8251397239826296,ok,
276,Bajra,1.6778,0.0134,2.0291948436593867,0.3301,0.891812395926625,ok,
277,Groundnut,2.54,0.0357,4.694780266361103,0.3623,0.9455555644081016,ok,
278,Cotton,0.6353,0.0151,3.858422333073107,0.3536,0.9232629322163683,ok,
279,Groundnut,2.5465,0.0721,2.410240373836064,0.296,0.9466896879422498,ok,
280,Groundnut,2.3061,0.1079,3.045742324482226,0.2423,0.9939711281582676,ok,dw_only
281,Groundnut,2.2486,0.0436,3.0312380572889195,0.3342,0.8468308684175092,ok,
282,Groundnut,2.2337,0.1356,3.609860631385657,0.4607,0.800649759566761,ok,
283,Groundnut,2.9446,0.0604,5.652323311213009,0.2607,0.9676883883075807,ok,
284,Groundnut,2.104,0.0738,5.086558583460269,0.2928,0.9709586076403144,ok,
285,Groundnut,2.3329,0.0722,3.5623091894433454,0.3344,0.9601753438484568,ok,
286,Cotton,0.5613,0.0064,2.475576205543513,0.318,0.9322176113532452,ok,
287,Cotton,0.9021,0.0159,1.993825496157281,0.8515,0.3020508457187939,ok,
288,Cotton,0.6785,0.0295,5.774803811979972,0.4273,0.8452983659052574,ok,
289,Cotton,0.7109,0.0129,6.036889207698699,0.858,0.3425896596823805,ok,
290,Cotton,0.9106,0.0184,2.866324039490197,0.9744,0.085060776409247,ok,
291,Cotton,0.6692,0.0124,2.572203359906294,0.3317,0.9175471135986888,ok,
292,Cotton,0.9064,0.0209,2.581736378743565,0.9708,0.0915104735307716,ok,
293,Groundnut,2.8313,0.0922,3.5730937869519925,0.2367,0.9940880332393373,ok,
294,Cotton,0.8789,0.0229,3.977059206145124,0.9794,0.0691471855054922,ok,dw_only
295,Groundnut,2.7257,0.0278,2.267130629755398,0.3394,0.9485479679132532,ok,
296,Cotton,0.6792,0.006,3.452616468157199,0.5423,0.801360024680117,ok,
297,Groundnut,2.8,0.0776,2.856851667007999,0.2696,0.9750258364566576,ok,
298,Rice,1.7887,0.0455,4.317950178777295,0.3481,0.8352604568656217,ok,
299,Cotton,0.5157,0.0155,3.9957301571276256,0.3707,0.9140846606094888,ok,
300,Cotton,0.5972,0.0373,9.272378815628445,0.7474,0.4704243916288029,ok,
301,Rice,1.8033,0.0457,4.282754175629711,0.3407,0.9017039695660574,ok,
302,Bajra,1.9109,0.0457,3.987176206988878,0.282,0.9855271121000428,ok,
303,Cotton,0.725,0.0137,8.278462817700992,0.5091,0.7688423055556384,ok,dw_only
304,Cotton,0.5229,0.0043,3.425155600310534,0.4289,0.8930842757828531,ok,both
305,Rice,1.3708,0.0569,4.850724170740308,0.2511,0.9878819498494988,ok,both
306,Cotton,0.7198,0.0209,3.908479211530744,0.4012,0.8032480396291521,ok,
307,Groundnut,1.9815,0.0968,4.013166875625937,0.2557,0.988299283015061,ok,
308,Groundnut,2.6211,0.0446,3.6506552612599408,0.4105,0.8495604999043138,ok,
309,Groundnut,2.7008,0.0685,3.661052346525055,0.4645,0.8397111321491598,ok,
310,Rice,1.7137,0.0248,3.9443552304688656,0.317,0.9300498650662232,ok,
311,Cotton,0.7898,0.0189,6.267356135760109,0.4824,0.7361667240618441,ok,dw_only
312,Bajra,2.2766,0.0534,3.0829732416030984,0.3127,0.9393887292414294,ok,
313,Cotton,0.5774,0.011,3.503528994114729,0.2614,0.9870916069051195,ok,
314,Cotton,0.6352,0.05,6.370742548818191,0.6445,0.5170466275653361,ok,
315,Groundnut,2.0938,0.0444,3.945884524512551,0.3301,0.9201547233982958,ok,
316,Cotton,0.7584,0.0155,5.863944726897759,0.6741,0.5812149967293204,ok,
317,Groundnut,2.6405,0.0239,3.4834490086096808,0.3321,0.9122454681288944,ok,
318,Maize,2.3511,0.0317,3.072510444970338,0.5621,0.6834260886120558,ok,
319,Cotton,0.5905,0.016,3.511561833639634,0.4006,0.8434356841803808,ok,
320,Cotton,0.9076,0.0188,3.095125611158207,0.9758,0.0806464383326757,ok,
321,Cotton,0.7057,0.0073,5.636146890615922,0.6238,0.6409345612869083,ok,dw_only
322,Cotton,0.5134,0.0052,5.353451069015012,0.4384,0.8977945464759551,ok,both
